index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
0,0.0,0,0,0,58,0,0.0,0,0.0,0,0,0,1459269668.0
1,0.0,0,0,0,59,0,0.0,0,0.0,0,0,0,1459269673.0
2,0.0,0,0,0,60,0,0.0,0,0.0,0,0,0,1459269675.0
3,0.0,0,0,0,61,0,0.0,0,0.0,0,0,0,1459269675.0
4,0.0,0,0,0,62,0,0.0,0,0.0,0,0,0,1459269677.0
5,0.0,0,0,0,63,0,0.0,0,0.0,0,0,0,1459269678.0
6,0.0,0,0,0,64,0,0.0,0,0.0,0,0,0,1459269680.0
7,0.0,0,0,0,65,0,0.0,0,0.0,0,0,0,1459269680.0
8,0.0,0,0,0,67,0,0.0,0,0.0,0,0,0,1459269681.0
9,0.0,0,0,0,68,0,0.0,0,0.0,0,0,0,1459269686.0
10,0.0,0,0,0,70,0,0.0,0,0.0,0,0,0,1459269686.0
11,0.0,0,3,830,71,0,0.0,86,160.0,8,1726,0,1459269687.0
12,0.0,23,4,898,73,8,0.0,115,145.0,11,2181,0,1459269689.0
13,0.0,21,3,741,80,19,0.0,133,138.0,11,2031,0,1459269692.0
14,0.0,22,2,670,84,30,0.0,153,132.0,10,2104,0,1459269695.0
15,0.0,21,3,671,90,40,0.0,160,130.0,11,2180,0,1459269698.0
16,0.0,22,4,749,96,51,0.0,166,128.0,11,2024,0,1459269701.0
17,0.0,21,3,672,100,62,0.0,171,127.0,11,2101,0,1459269703.0
18,0.0,22,3,681,102,73,0.0,168,127.5,11,2021,0,1459269706.0
19,0.0,22,3,672,101,84,0.0,167,128.0,11,2101,0,1459269709.0
20,0.0,22,3,682,101,95,0.0,170,127.0,10,2023,0,1459269712.0
21,0.0,21,3,673,99,105,0.0,168,127.5,12,2247,0,1459269714.0
22,0.0,21,3,680,102,117,0.0,170,127.0,11,2094,0,1459269717.0
23,0.0,21,2,681,107,128,0.0,168,128.0,11,2250,0,1459269720.0
24,0.0,21,3,672,111,139,0.0,164,129.0,11,2180,0,1459269723.0
25,0.0,21,3,750,116,150,0.0,163,129.0,11,2022,0,1459269726.0
26,0.0,22,3,671,119,161,0.0,168,127.5,11,2103,0,1459269729.0
27,0.0,22,3,680,120,172,0.0,170,127.5,10,2022,0,1459269731.0
28,0.0,21,3,671,122,182,0.0,167,128.0,12,2251,0,1459269734.0
29,0.0,21,3,681,123,194,0.0,168,128.0,11,2093,0,1459269737.0
30,0.0,22,3,680,124,205,0.0,169,127.5,10,2023,0,1459269740.0
31,0.0,21,3,680,125,215,0.0,167,128.0,12,2249,0,1459269742.0
32,0.0,21,3,671,126,227,0.0,167,128.0,11,2104,0,1459269745.0
33,0.0,21,2,671,126,238,0.0,167,128.0,11,2179,0,1459269748.0
34,0.0,22,3,742,127,249,0.0,170,127.5,11,2031,0,1459269751.0
35,0.0,22,2,672,128,260,0.0,164,129.0,10,2102,0,1459269754.0
36,0.0,21,3,673,129,270,0.0,168,128.0,11,2032,0,1459269757.0
37,0.0,22,3,670,130,281,0.0,168,127.5,11,2250,0,1459269759.0
38,0.0,21,3,524,131,292,0.0,164,128.5,11,2250,0,1459269762.0
39,0.0,21,3,680,132,303,0.0,169,127.5,11,2171,0,1459269765.0
40,0.0,21,4,750,132,314,0.0,171,127.0,11,2025,0,1459269768.0
41,0.0,21,3,677,133,325,0.0,169,127.5,11,2103,0,1459269771.0
42,0.0,22,3,672,133,336,0.0,171,127.0,11,2180,0,1459269773.0
43,0.0,22,4,749,133,347,0.0,169,127.5,11,2023,0,1459269776.0
44,0.0,21,3,672,134,358,0.0,170,127.5,12,2249,0,1459269779.0
45,0.0,21,3,681,132,370,0.0,167,128.0,10,2025,0,1459269782.0
46,0.0,21,3,749,133,380,0.0,168,127.5,12,2170,0,1459269785.0
47,0.0,22,2,525,134,392,0.0,176,125.5,11,2257,0,1459269788.0
48,0.0,21,3,672,136,403,0.0,178,125.0,12,2249,0,1459269790.0
49,0.0,21,2,526,137,415,0.0,168,128.0,10,2178,0,1459269793.0
50,0.0,21,3,672,137,425,0.0,161,129.5,11,2103,0,1459269796.0
51,0.0,22,3,670,136,436,0.0,165,128.5,11,2250,0,1459269799.0
52,0.0,21,3,679,135,447,0.0,169,127.5,12,2250,0,1459269802.0
53,0.0,21,2,671,135,459,0.0,165,128.5,11,2182,0,1459269805.0
54,0.0,21,3,751,137,470,0.0,163,129.0,11,2021,0,1459269807.0
55,0.0,21,2,671,135,481,0.0,169,127.5,10,2105,0,1459269810.0
56,0.0,21,3,680,135,491,0.0,164,128.5,12,2395,0,1459269813.0
57,0.0,21,2,524,133,503,0.0,164,128.5,11,2173,0,1459269816.0
58,0.0,21,3,677,133,514,0.0,166,128.0,12,2400,0,1459269819.0
59,0.0,20,3,750,132,526,0.0,161,129.5,10,2022,0,1459269822.0
60,0.0,21,3,681,130,536,0.0,165,128.5,12,2249,0,1459269825.0
61,0.0,21,3,672,130,548,0.0,163,129.0,11,2251,0,1459269828.0
62,0.0,21,3,671,131,559,0.0,167,128.0,12,2250,0,1459269830.0
63,0.0,21,3,680,132,571,0.0,170,127.5,10,2030,0,1459269833.0
64,0.0,21,3,673,132,581,0.0,169,127.5,12,2249,0,1459269836.0
65,0.0,21,3,672,132,593,0.0,169,127.5,11,2101,0,1459269839.0
66,0.0,21,3,674,132,604,0.0,174,126.5,11,2178,0,1459269842.0
67,0.0,21,3,752,131,615,0.0,169,127.5,11,2172,0,1459269845.0
68,0.0,21,3,671,131,626,0.0,171,127.0,12,2257,0,1459269848.0
69,0.0,21,3,672,132,638,0.0,172,126.5,11,2249,0,1459269850.0
70,0.0,21,3,672,132,649,0.0,164,129.0,11,2102,0,1459269853.0
71,0.0,21,3,678,133,660,0.0,165,128.5,12,2400,0,1459269856.0
72,0.0,21,2,523,132,672,0.0,162,129.5,11,2400,0,1459269859.0
73,0.0,20,3,678,132,683,0.0,159,130.0,11,2172,0,1459269862.0
74,0.0,20,3,750,132,694,0.0,159,130.0,12,2180,0,1459269865.0
75,0.0,20,3,897,132,706,0.0,164,129.0,11,2173,0,1459269868.0
76,0.0,20,4,748,132,717,0.0,163,129.0,11,2026,0,1459269871.0
77,0.0,21,3,679,132,728,0.0,161,129.5,12,2250,0,1459269874.0
78,0.0,21,2,672,132,740,0.0,168,127.5,11,2252,0,1459269877.0
79,0.0,21,3,676,130,751,0.0,164,129.0,11,2251,0,1459269880.0
80,0.0,21,3,672,130,762,0.0,163,129.0,11,2023,0,1459269883.0
81,0.0,22,3,681,130,773,0.0,168,128.0,11,2249,0,1459269885.0
82,0.0,21,3,672,131,784,0.0,167,128.0,12,2251,0,1459269888.0
83,0.0,21,3,677,132,796,0.0,167,128.0,11,2249,0,1459269891.0
84,0.0,20,3,675,132,807,0.0,166,128.5,11,2249,0,1459269894.0
85,0.0,21,3,680,132,818,0.0,163,129.0,11,2171,0,1459269897.0
86,0.0,21,4,749,133,829,0.0,161,129.5,12,2173,0,1459269900.0
87,0.0,20,4,906,131,841,0.0,167,128.0,12,2173,0,1459269903.0
88,0.0,20,3,749,132,853,0.0,165,128.5,11,2172,0,1459269906.0
89,0.0,21,3,681,134,864,0.0,163,129.0,11,2099,0,1459269909.0
90,0.0,21,3,672,135,875,0.0,163,129.0,11,2251,0,1459269912.0
91,0.0,21,3,680,134,886,0.0,167,128.0,12,2250,0,1459269914.0
92,0.0,21,3,672,133,898,0.0,160,130.0,12,2397,0,1459269917.0
93,0.0,20,2,680,133,910,0.0,161,129.5,11,2250,0,1459269920.0
94,0.0,20,3,672,133,921,0.0,160,130.0,12,2397,0,1459269923.0
95,0.0,20,2,524,132,933,0.0,162,129.0,11,2407,0,1459269926.0
96,0.0,20,3,673,131,944,0.0,158,130.5,12,2398,0,1459269929.0
97,0.0,20,2,530,130,956,0.0,162,129.5,11,2399,0,1459269932.0
98,0.0,19,3,673,131,967,0.0,163,129.0,12,2398,0,1459269935.0
99,0.0,20,3,679,132,979,0.0,162,129.5,11,2248,0,1459269938.0
100,0.0,20,3,675,133,990,0.0,165,128.5,12,2403,0,1459269941.0
101,0.0,20,3,524,132,1002,0.0,162,129.5,12,2399,0,1459269944.0
102,0.0,20,3,680,133,1014,0.0,168,127.5,11,2172,0,1459269947.0
103,0.0,20,3,750,134,1025,0.0,169,127.5,12,2398,0,1459269950.0
104,0.0,20,3,680,134,1037,0.0,161,129.5,11,2170,0,1459269953.0
105,0.0,20,3,752,133,1048,0.0,161,129.5,12,2396,0,1459269956.0
106,0.0,20,3,672,133,1060,0.0,160,130.0,11,2181,0,1459269959.0
107,0.0,21,3,750,133,1071,0.0,164,129.0,12,2173,0,1459269962.0
108,0.0,20,3,680,133,1083,0.0,166,128.0,11,2248,0,1459269965.0
109,0.0,21,3,672,134,1094,0.0,170,127.0,12,2250,0,1459269968.0
110,0.0,20,2,679,135,1106,0.0,166,128.0,11,2251,0,1459269971.0
111,0.0,20,3,671,135,1117,0.0,166,128.5,12,2249,0,1459269974.0
112,0.0,21,3,682,135,1129,0.0,174,126.5,11,2249,0,1459269977.0
113,0.0,21,3,673,135,1140,0.0,172,127.0,11,2172,0,1459269980.0
114,0.0,21,3,750,136,1151,0.0,166,128.5,12,2180,0,1459269983.0
115,0.0,20,3,672,134,1163,0.0,166,128.0,11,2248,0,1459269986.0
116,0.0,20,3,680,134,1174,0.0,168,128.0,11,2126,0,1459269988.0
117,0.0,21,3,671,135,1185,0.0,164,129.0,11,2251,0,1459269991.0
118,0.0,21,3,677,136,1196,0.0,166,128.0,11,2172,0,1459269994.0
119,0.0,20,4,751,135,1207,0.0,165,128.5,12,2180,0,1459269997.0
120,0.0,21,3,672,134,1219,0.0,167,128.0,11,2250,0,1459270000.0
121,0.0,21,3,672,133,1230,0.0,168,127.5,12,2250,0,1459270003.0
122,0.0,21,3,679,134,1242,0.0,168,127.5,11,2249,0,1459270006.0
123,0.0,20,3,673,135,1253,0.0,168,128.0,12,2248,0,1459270009.0
124,0.0,21,3,681,136,1265,0.0,171,127.0,11,2250,0,1459270012.0
125,0.0,21,3,671,136,1276,0.0,172,127.0,12,2181,0,1459270015.0
126,0.0,21,3,750,137,1288,0.0,170,127.5,11,2172,0,1459270017.0
127,0.0,21,3,672,139,1299,0.0,167,128.0,11,2249,0,1459270020.0
128,0.0,21,3,679,141,1310,0.0,167,128.0,11,2102,0,1459270023.0
129,0.0,21,3,670,140,1321,0.0,167,128.0,12,2251,0,1459270026.0
130,0.0,22,3,681,139,1333,0.0,169,127.5,11,2171,0,1459270029.0
131,0.0,21,3,750,140,1344,0.0,170,127.5,11,2205,0,1459270032.0
132,0.0,21,3,669,141,1355,0.0,170,127.5,11,2103,0,1459270035.0
133,0.0,21,3,671,141,1366,0.0,168,127.5,12,2251,0,1459270038.0
134,0.0,22,3,680,141,1378,0.0,178,125.5,11,2024,0,1459270041.0
135,0.0,21,4,896,140,1389,0.0,178,125.0,11,2023,0,1459270043.0
136,0.0,21,3,681,139,1400,0.0,172,126.5,11,2101,0,1459270046.0
137,0.0,21,3,672,139,1411,0.0,174,126.5,12,2250,0,1459270049.0
138,0.0,21,3,673,139,1423,0.0,174,126.0,11,2024,0,1459270052.0
139,0.0,21,2,678,140,1434,0.0,172,127.0,11,2251,0,1459270055.0
140,0.0,21,3,679,141,1445,0.0,173,126.5,12,2241,0,1459270057.0
141,0.0,21,3,681,142,1457,0.0,176,126.0,11,2250,0,1459270060.0
142,0.0,21,3,523,143,1468,0.0,177,125.5,11,2178,0,1459270063.0
143,0.0,21,3,672,142,1479,0.0,179,125.0,12,2250,0,1459270066.0
144,0.0,21,3,673,140,1491,0.0,173,126.5,11,2250,0,1459270069.0
145,0.0,21,3,680,139,1502,0.0,170,127.5,11,2102,0,1459270072.0
146,0.0,21,3,671,139,1513,0.0,176,125.5,11,2173,0,1459270075.0
147,0.0,21,4,749,140,1524,0.0,168,127.5,12,2179,0,1459270077.0
148,0.0,20,3,671,140,1536,0.0,169,127.5,11,2250,0,1459270080.0
149,0.0,21,3,681,140,1547,0.0,170,127.5,12,2250,0,1459270083.0
150,0.0,21,3,671,139,1559,0.0,168,127.5,11,2249,0,1459270086.0
151,0.0,21,3,681,139,1570,0.0,176,126.0,12,2250,0,1459270089.0
152,0.0,21,3,669,140,1582,0.0,172,127.0,12,2251,0,1459270092.0
153,0.0,20,2,673,140,1594,0.0,173,126.5,11,2178,0,1459270095.0
154,0.0,21,3,751,140,1605,0.0,172,127.0,11,2172,0,1459270098.0
155,0.0,20,3,679,139,1616,0.0,169,127.5,12,2250,0,1459270101.0
156,0.0,21,3,672,139,1628,0.0,173,126.5,11,2103,0,1459270104.0
157,0.0,21,3,702,139,1639,0.0,165,128.5,11,2250,0,1459270107.0
158,0.0,21,3,672,140,1650,0.0,170,127.0,12,2180,0,1459270109.0
159,0.0,21,3,741,140,1662,0.0,174,126.5,11,2181,0,1459270112.0
160,0.0,20,3,671,140,1673,0.0,171,127.0,11,2250,0,1459270115.0
161,0.0,21,3,678,140,1684,0.0,168,128.0,11,2102,0,1459270118.0
162,0.0,21,3,674,139,1695,0.0,171,127.0,12,2249,0,1459270121.0
163,0.0,21,3,680,139,1707,0.0,169,127.5,11,2172,0,1459270124.0
164,0.0,21,3,749,139,1718,0.0,168,128.0,11,2025,0,1459270127.0
165,0.0,21,3,672,139,1729,0.0,166,128.0,11,2256,0,1459270130.0
166,0.0,21,3,671,138,1740,0.0,166,128.5,11,2024,0,1459270132.0
167,0.0,21,3,750,137,1751,0.0,166,128.0,11,2178,0,1459270135.0
168,0.0,21,3,672,138,1762,0.0,174,126.5,11,2101,0,1459270138.0
169,0.0,21,3,674,139,1773,0.0,180,125.0,11,2031,0,1459270141.0
170,0.0,22,4,751,139,1784,0.0,184,124.0,11,2022,0,1459270144.0
171,0.0,22,3,672,139,1795,0.0,184,124.0,12,2102,0,1459270146.0
172,0.0,21,3,829,140,1807,0.0,180,125.0,11,2023,0,1459270149.0
173,0.0,22,3,749,141,1818,0.0,178,125.5,11,2023,0,1459270152.0
174,0.0,22,3,674,141,1829,0.0,182,124.5,11,2102,0,1459270155.0
175,0.0,22,3,679,141,1840,0.0,180,125.0,11,2024,0,1459270157.0
176,0.0,22,3,678,141,1851,0.0,182,124.0,11,2094,0,1459270160.0
177,0.0,22,3,524,142,1862,0.0,185,123.5,11,2023,0,1459270163.0
178,0.0,22,3,680,143,1873,0.0,187,123.0,11,2101,0,1459270165.0
179,0.0,22,3,671,144,1884,0.0,183,124.0,11,2025,0,1459270168.0
180,0.0,22,3,679,144,1895,0.0,189,123.0,11,2099,0,1459270171.0
181,0.0,22,3,672,144,1906,0.0,183,124.0,11,2028,0,1459270174.0
182,0.0,22,3,678,143,1917,0.0,184,124.0,11,2100,0,1459270176.0
183,0.0,22,3,672,143,1928,0.0,186,123.5,11,2024,0,1459270179.0
184,0.0,22,3,750,144,1939,0.0,186,123.5,11,2024,0,1459270182.0
185,0.0,22,3,679,144,1950,0.0,182,124.5,11,2101,0,1459270185.0
186,0.0,22,3,671,144,1961,0.0,184,124.0,11,2024,0,1459270187.0
187,0.0,22,3,680,145,1972,0.0,189,123.0,12,2103,0,1459270190.0
188,0.0,22,2,522,145,1984,0.0,186,123.5,10,2024,0,1459270193.0
189,0.0,23,3,672,146,1994,0.0,185,123.5,11,2101,0,1459270196.0
190,0.0,22,3,678,146,2005,0.0,187,123.0,11,2025,0,1459270198.0
191,0.0,23,3,672,146,2016,0.0,184,124.0,11,2102,0,1459270201.0
192,0.0,22,3,671,146,2027,0.0,190,122.5,11,2030,0,1459270204.0
193,0.0,22,3,672,146,2038,0.0,189,123.0,12,2101,0,1459270206.0
194,0.0,22,2,525,147,2050,0.0,184,124.0,11,2181,0,1459270209.0
195,0.0,22,3,748,146,2061,0.0,186,123.5,11,2023,0,1459270212.0
196,0.0,22,3,673,146,2072,0.0,185,124.0,11,2101,0,1459270215.0
197,0.0,22,3,680,146,2083,0.0,182,124.5,11,2023,0,1459270217.0
198,0.0,22,3,672,147,2094,0.0,184,124.0,11,2100,0,1459270220.0
199,0.0,22,3,672,146,2105,0.0,185,123.5,11,2024,0,1459270223.0
200,0.0,22,3,678,147,2116,0.0,183,124.0,11,2103,0,1459270226.0
201,0.0,22,3,672,147,2127,0.0,188,123.0,11,2023,0,1459270228.0
202,0.0,22,3,751,146,2138,0.0,184,124.0,12,2179,0,1459270231.0
203,0.0,21,3,672,147,2150,0.0,183,124.0,11,2100,0,1459270234.0
204,0.0,22,3,680,147,2161,0.0,183,124.0,11,2024,0,1459270237.0
205,0.0,22,3,750,148,2172,0.0,180,125.0,11,2022,0,1459270240.0
206,0.0,22,3,672,148,2183,0.0,182,124.5,11,2103,0,1459270242.0
207,0.0,22,3,672,148,2194,0.0,180,125.0,11,2032,0,1459270245.0
208,0.0,22,3,669,148,2205,0.0,184,124.0,11,2102,0,1459270248.0
209,0.0,22,3,672,148,2216,0.0,184,124.0,11,2032,0,1459270251.0
210,0.0,22,3,672,148,2227,0.0,184,124.0,11,2100,0,1459270253.0
211,0.0,22,3,672,148,2238,0.0,185,123.5,11,2024,0,1459270256.0
212,0.0,22,4,750,148,2249,0.0,185,123.5,11,2032,0,1459270259.0
213,0.0,22,3,671,148,2260,0.0,183,124.0,12,2102,0,1459270262.0
214,0.0,22,3,672,148,2272,0.0,184,124.0,10,1875,0,1459270264.0
215,0.0,22,3,679,148,2282,0.0,187,123.5,11,2024,0,1459270267.0
216,0.0,22,3,749,149,2293,0.0,187,123.0,11,2024,0,1459270270.0
217,0.0,22,3,680,149,2304,0.0,191,122.5,12,2094,0,1459270272.0
218,0.0,22,2,678,148,2316,0.0,185,123.5,11,2172,0,1459270275.0
219,0.0,22,2,524,148,2327,0.0,184,124.0,11,2103,0,1459270278.0
220,0.0,22,3,678,149,2338,0.0,184,124.0,11,2024,0,1459270281.0
