index,Stroke Number,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Cadence (stokes/min), HRCur (bpm), ElapsedTime (sec), lapIdx, Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1,1712902816.852375,12.0,172.1,0.0,80.0,3.9,0.0,68.66342036700509,0.0,0.0,0.0,0.0,0.0,0.0,2.9052876234747242,0.0,0.0,0.0,1.0,4.0,0,inf,80.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,12.0,68.66342036700509,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,2,1712902820.052375,23.0,160.5,20.0,86.0,7.100000047683716,0.0,84.6531131590513,0.0,0.0,0.0,0.0,0.0,0.0,3.115264797507788,0.0,0.0,0.0,1.0,4.0,1,253.9593394771539,86.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.0,84.6531131590513,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,3,1712902823.552375,36.0,143.9,19.0,90.0,10.600000047683716,0.0,117.45882783414554,0.0,0.0,0.0,0.0,0.0,0.0,3.4746351633078527,0.0,0.0,0.0,1.0,4.0,2,370.9226142130912,90.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,36.0,117.45882783414554,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,4,1712902826.9523752,48.0,135.3,18.0,97.0,14.000000143051148,0.0,141.31057206966008,0.0,0.0,0.0,0.0,0.0,0.0,3.695491500369549,0.0,0.0,0.0,1.0,4.0,3,471.0352402322003,97.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.0,0.0,141.31057206966008,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,5,1712902830.7523751,62.0,135.3,18.0,99.0,17.80000009536743,0.0,141.31057206966008,0.0,0.0,0.0,0.0,0.0,0.0,3.695491500369549,0.0,0.0,0.0,1.0,4.0,4,471.0352402322003,99.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.0,0.0,141.31057206966008,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,6,1712902833.7523751,73.0,139.7,16.0,99.0,20.80000009536743,0.0,128.37451800544736,0.0,0.0,0.0,0.0,0.0,0.0,3.579098067287044,0.0,0.0,0.0,1.0,4.0,5,481.4044425204276,99.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,73.0,0.0,128.37451800544736,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,7,1712902836.7523751,84.0,132.8,20.0,99.0,23.80000009536743,0.0,149.44239507019216,0.0,0.0,0.0,0.0,0.0,0.0,3.765060240963855,0.0,0.0,0.0,1.0,4.0,6,448.3271852105765,99.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,84.0,0.0,149.44239507019216,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,8,1712902840.152375,97.0,132.8,20.0,101.0,27.199999952316283,0.0,149.44239507019216,0.0,0.0,0.0,0.0,0.0,0.0,3.765060240963855,0.0,0.0,0.0,1.0,4.0,7,448.3271852105765,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,97.0,0.0,149.44239507019216,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,9,1712902844.2523751,111.0,133.9,18.0,104.0,31.30000009536743,0.0,145.78952242767673,0.0,0.0,0.0,0.0,0.0,0.0,3.7341299477221805,0.0,0.0,0.0,1.0,4.0,8,485.9650747589224,104.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,111.0,0.0,145.78952242767673,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,10,1712902847.2523751,122.0,143.0,15.0,103.0,34.30000009536743,0.0,119.69056910129824,0.0,0.0,0.0,0.0,0.0,0.0,3.4965034965034967,0.0,0.0,0.0,1.0,4.0,9,478.76227640519295,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,122.0,119.69056910129824,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
10,11,1712902850.152375,133.0,135.5,20.0,104.0,37.19999995231628,0.0,140.68576573076632,0.0,0.0,0.0,0.0,0.0,0.0,3.690036900369004,0.0,0.0,0.0,1.0,4.0,10,422.05729719229896,104.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,133.0,0.0,140.68576573076632,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,12,1712902853.4523752,145.0,135.5,20.0,105.0,40.500000143051146,0.0,140.68576573076632,0.0,0.0,0.0,0.0,0.0,0.0,3.690036900369004,0.0,0.0,0.0,1.0,4.0,11,422.05729719229896,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,145.0,0.0,140.68576573076632,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,13,1712902857.552375,159.0,137.9,19.0,107.0,44.600000047683714,0.0,133.46741398559703,0.0,0.0,0.0,0.0,0.0,0.0,3.625815808556925,0.0,0.0,0.0,1.0,4.0,12,421.4760441650433,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,159.0,0.0,133.46741398559703,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,14,1712902860.4523752,169.0,142.8,21.0,107.0,47.500000143051146,0.0,120.19417532487807,0.0,0.0,0.0,0.0,0.0,0.0,3.501400560224089,0.0,0.0,0.0,1.0,4.0,13,343.41192949965165,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,169.0,120.19417532487807,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,15,1712902863.352375,180.0,142.8,21.0,107.0,50.4,0.0,120.19417532487807,0.0,0.0,0.0,0.0,0.0,0.0,3.501400560224089,0.0,0.0,0.0,1.0,4.0,14,343.41192949965165,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,180.0,120.19417532487807,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,16,1712902868.552375,196.0,154.8,11.0,108.0,55.600000047683714,0.0,94.35288311268945,0.0,0.0,0.0,0.0,0.0,0.0,3.229974160206718,0.0,0.0,0.0,1.0,4.0,15,514.6520897055789,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,196.0,94.35288311268945,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,17,1712902871.2523751,205.0,154.8,11.0,107.0,58.30000009536743,0.0,94.35288311268945,0.0,0.0,0.0,0.0,0.0,0.0,3.229974160206718,0.0,0.0,0.0,1.0,4.0,16,514.6520897055789,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,205.0,94.35288311268945,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,18,1712902874.152375,216.0,147.8,22.0,107.0,61.19999995231628,0.0,108.40385888103096,0.0,0.0,0.0,0.0,0.0,0.0,3.3829499323410013,0.0,0.0,0.0,1.0,4.0,17,295.6468878573571,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,216.0,108.40385888103096,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,19,1712902877.652375,229.0,139.1,21.0,108.0,64.69999995231629,0.0,130.04290255430053,0.0,0.0,0.0,0.0,0.0,0.0,3.5945363048166787,0.0,0.0,0.0,1.0,4.0,18,371.55115015514434,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,229.0,0.0,130.04290255430053,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,20,1712902881.152375,241.0,135.6,17.0,110.0,68.19999995231629,0.0,140.37474351689434,0.0,0.0,0.0,0.0,0.0,0.0,3.6873156342182893,0.0,0.0,0.0,1.0,4.0,19,495.44027123609766,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,241.0,0.0,140.37474351689434,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,21,1712902884.352375,253.0,139.5,17.0,110.0,71.4,0.0,128.9274584589973,0.0,0.0,0.0,0.0,0.0,0.0,3.5842293906810037,0.0,0.0,0.0,1.0,4.0,20,455.038088678814,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,253.0,0.0,128.9274584589973,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,22,1712902887.9523752,266.0,138.8,19.0,110.0,75.00000014305115,0.0,130.88794405178524,0.0,0.0,0.0,0.0,0.0,0.0,3.6023054755043225,0.0,0.0,0.0,1.0,4.0,21,413.33034963721656,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,266.0,0.0,130.88794405178524,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,23,1712902891.4523752,279.0,140.7,17.0,110.0,78.50000014305115,0.0,125.6567295038023,0.0,0.0,0.0,0.0,0.0,0.0,3.553660270078181,0.0,0.0,0.0,1.0,4.0,22,443.49433942518453,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,279.0,0.0,125.6567295038023,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,24,1712902894.9523752,292.0,137.7,17.0,110.0,82.00000014305115,0.0,134.0498164269535,0.0,0.0,0.0,0.0,0.0,0.0,3.631082062454612,0.0,0.0,0.0,1.0,4.0,23,473.11699915395354,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,292.0,0.0,134.0498164269535,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,25,1712902898.2523751,303.0,135.9,17.0,110.0,85.30000009536744,0.0,139.44716011613252,0.0,0.0,0.0,0.0,0.0,0.0,3.679175864606328,0.0,0.0,0.0,1.0,4.0,24,492.166447468703,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,303.0,0.0,139.44716011613252,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,26,1712902901.352375,315.0,136.3,18.0,110.0,88.4,0.0,138.2230516102044,0.0,0.0,0.0,0.0,0.0,0.0,3.668378576669112,0.0,0.0,0.0,1.0,4.0,25,460.743505367348,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,315.0,0.0,138.2230516102044,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,27,1712902904.7523751,327.0,137.0,19.0,110.0,91.80000009536744,0.0,136.11511138299565,0.0,0.0,0.0,0.0,0.0,0.0,3.6496350364963503,0.0,0.0,0.0,1.0,4.0,26,429.8371938410389,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,327.0,0.0,136.11511138299565,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,28,1712902908.2523751,340.0,139.4,17.0,110.0,95.30000009536744,0.0,129.20511979613713,0.0,0.0,0.0,0.0,0.0,0.0,3.5868005738880915,0.0,0.0,0.0,1.0,4.0,27,456.0180698687193,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,340.0,0.0,129.20511979613713,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,29,1712902911.4523752,352.0,139.4,17.0,103.0,98.50000014305115,0.0,129.20511979613713,0.0,0.0,0.0,0.0,0.0,0.0,3.5868005738880915,0.0,0.0,0.0,1.0,4.0,28,456.0180698687193,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,352.0,0.0,129.20511979613713,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,30,1712902914.9523752,365.0,135.7,17.0,105.0,102.00000014305115,0.0,140.06463742105808,0.0,0.0,0.0,0.0,0.0,0.0,3.684598378776714,0.0,0.0,0.0,1.0,4.0,29,494.34577913314615,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,365.0,0.0,140.06463742105808,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,31,1712902918.552375,378.0,135.7,17.0,109.0,105.60000004768372,0.0,140.06463742105808,0.0,0.0,0.0,0.0,0.0,0.0,3.684598378776714,0.0,0.0,0.0,1.0,4.0,30,494.34577913314615,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,378.0,0.0,140.06463742105808,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,32,1712902922.152375,391.0,135.2,17.0,110.0,109.19999995231629,0.0,141.6243630108422,0.0,0.0,0.0,0.0,0.0,0.0,3.6982248520710064,0.0,0.0,0.0,1.0,4.0,31,499.85069297944307,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,391.0,0.0,141.6243630108422,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,33,1712902925.652375,404.0,137.7,17.0,112.0,112.69999995231629,0.0,134.0498164269535,0.0,0.0,0.0,0.0,0.0,0.0,3.631082062454612,0.0,0.0,0.0,1.0,4.0,32,473.11699915395354,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,404.0,0.0,134.0498164269535,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,34,1712902929.352375,417.0,137.3,16.0,116.0,116.4,0.0,135.22482642103728,0.0,0.0,0.0,0.0,0.0,0.0,3.6416605972323377,0.0,0.0,0.0,1.0,4.0,33,507.0930990788898,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,417.0,0.0,135.22482642103728,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,35,1712902932.852375,430.0,137.4,17.0,116.0,119.9,0.0,134.92979054026696,0.0,0.0,0.0,0.0,0.0,0.0,3.6390101892285296,0.0,0.0,0.0,1.0,4.0,34,476.2227901421187,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,430.0,0.0,134.92979054026696,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,36,1712902935.852375,442.0,137.4,17.0,116.0,122.9,0.0,134.92979054026696,0.0,0.0,0.0,0.0,0.0,0.0,3.6390101892285296,0.0,0.0,0.0,1.0,4.0,35,476.2227901421187,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,442.0,0.0,134.92979054026696,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,37,1712902938.852375,453.0,131.4,21.0,116.0,125.9,0.0,154.27016665370618,0.0,0.0,0.0,0.0,0.0,0.0,3.8051750380517504,0.0,0.0,0.0,1.0,4.0,36,440.7719047248748,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,453.0,0.0,154.27016665370618,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,38,1712902942.152375,466.0,128.4,20.0,115.0,129.1999999523163,0.0,165.33811163877206,0.0,0.0,0.0,0.0,0.0,0.0,3.894080996884735,0.0,0.0,0.0,1.0,4.0,37,496.01433491631616,115.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,466.0,0.0,165.33811163877206,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,39,1712902945.2523751,478.0,133.3,19.0,116.0,132.30000009536744,0.0,147.76704758167364,0.0,0.0,0.0,0.0,0.0,0.0,3.750937734433608,0.0,0.0,0.0,1.0,4.0,38,466.6327818368641,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,478.0,0.0,147.76704758167364,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,40,1712902948.2523751,489.0,133.3,19.0,116.0,135.30000009536744,0.0,147.76704758167364,0.0,0.0,0.0,0.0,0.0,0.0,3.750937734433608,0.0,0.0,0.0,1.0,4.0,39,466.6327818368641,116.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,489.0,0.0,147.76704758167364,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,41,1712902951.2523751,500.0,132.8,20.0,118.0,138.30000009536744,0.0,149.44239507019216,0.0,0.0,0.0,0.0,0.0,0.0,3.765060240963855,0.0,0.0,0.0,1.0,4.0,40,448.3271852105765,118.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,500.0,0.0,149.44239507019216,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
41,42,1712902954.2523751,512.0,131.9,20.0,118.0,141.30000009536744,0.0,152.52240957400522,0.0,0.0,0.0,0.0,0.0,0.0,3.790750568612585,0.0,0.0,0.0,1.0,4.0,41,457.5672287220157,118.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,512.0,0.0,152.52240957400522,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
42,43,1712902957.2523751,523.0,132.4,20.0,118.0,144.30000009536744,0.0,150.80095401888298,0.0,0.0,0.0,0.0,0.0,0.0,3.7764350453172204,0.0,0.0,0.0,1.0,4.0,42,452.40286205664887,118.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,523.0,0.0,150.80095401888298,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,44,1712902960.152375,534.0,132.5,21.0,118.0,147.1999999523163,0.0,150.45977551938847,0.0,0.0,0.0,0.0,0.0,0.0,3.7735849056603774,0.0,0.0,0.0,1.0,4.0,43,429.8850729125385,118.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,534.0,0.0,150.45977551938847,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,45,1712902963.152375,545.0,132.5,21.0,119.0,150.1999999523163,0.0,150.45977551938847,0.0,0.0,0.0,0.0,0.0,0.0,3.7735849056603774,0.0,0.0,0.0,1.0,4.0,44,429.8850729125385,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,545.0,0.0,150.45977551938847,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,46,1712902965.9523752,556.0,129.9,22.0,119.0,153.00000014305115,0.0,159.67634797731637,0.0,0.0,0.0,0.0,0.0,0.0,3.8491147036181674,0.0,0.0,0.0,1.0,4.0,45,435.48094902904467,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,556.0,0.0,159.67634797731637,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,47,1712902968.852375,567.0,132.1,20.0,119.0,155.9,0.0,151.83069902219177,0.0,0.0,0.0,0.0,0.0,0.0,3.785011355034065,0.0,0.0,0.0,1.0,4.0,46,455.4920970665753,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,567.0,0.0,151.83069902219177,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,48,1712902971.852375,578.0,132.1,20.0,120.0,158.9,0.0,151.83069902219177,0.0,0.0,0.0,0.0,0.0,0.0,3.785011355034065,0.0,0.0,0.0,1.0,4.0,47,455.4920970665753,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,578.0,0.0,151.83069902219177,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,49,1712902974.852375,590.0,132.7,20.0,120.0,161.9,0.0,149.7804999083637,0.0,0.0,0.0,0.0,0.0,0.0,3.7678975131876418,0.0,0.0,0.0,1.0,4.0,48,449.3414997250911,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,590.0,0.0,149.7804999083637,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,50,1712902977.7523751,601.0,132.7,21.0,120.0,164.80000009536744,0.0,149.7804999083637,0.0,0.0,0.0,0.0,0.0,0.0,3.7678975131876418,0.0,0.0,0.0,1.0,4.0,49,427.94428545246774,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,601.0,0.0,149.7804999083637,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,51,1712902980.7523751,612.0,130.2,20.0,120.0,167.80000009536744,0.0,158.57513567752042,0.0,0.0,0.0,0.0,0.0,0.0,3.840245775729647,0.0,0.0,0.0,1.0,4.0,50,475.7254070325613,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,612.0,0.0,158.57513567752042,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,52,1712902983.652375,623.0,130.2,20.0,120.0,170.6999999523163,0.0,158.57513567752042,0.0,0.0,0.0,0.0,0.0,0.0,3.840245775729647,0.0,0.0,0.0,1.0,4.0,51,475.7254070325613,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,623.0,0.0,158.57513567752042,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,53,1712902986.7523751,635.0,133.0,20.0,120.0,173.80000009536744,0.0,148.7692321424852,0.0,0.0,0.0,0.0,0.0,0.0,3.7593984962406015,0.0,0.0,0.0,1.0,4.0,52,446.30769642745565,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,635.0,0.0,148.7692321424852,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,54,1712902989.652375,646.0,134.1,20.0,120.0,176.6999999523163,0.0,145.13819268948785,0.0,0.0,0.0,0.0,0.0,0.0,3.7285607755406414,0.0,0.0,0.0,1.0,4.0,53,435.4145780684636,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,646.0,0.0,145.13819268948785,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,55,1712902992.652375,657.0,132.3,20.0,120.0,179.6999999523163,0.0,151.14316482802062,0.0,0.0,0.0,0.0,0.0,0.0,3.7792894935752077,0.0,0.0,0.0,1.0,4.0,54,453.4294944840619,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,657.0,0.0,151.14316482802062,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,56,1712902995.4523752,668.0,132.3,20.0,120.0,182.50000014305115,0.0,151.14316482802062,0.0,0.0,0.0,0.0,0.0,0.0,3.7792894935752077,0.0,0.0,0.0,1.0,4.0,55,453.4294944840619,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,668.0,0.0,151.14316482802062,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,57,1712902998.4523752,679.0,131.1,21.0,120.0,185.50000014305115,0.0,155.33165491621975,0.0,0.0,0.0,0.0,0.0,0.0,3.8138825324180017,0.0,0.0,0.0,1.0,4.0,56,443.80472833205647,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,679.0,0.0,155.33165491621975,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
57,58,1712903001.352375,690.0,133.8,20.0,119.0,188.4,0.0,146.11664913250172,0.0,0.0,0.0,0.0,0.0,0.0,3.736920777279521,0.0,0.0,0.0,1.0,4.0,57,438.34994739750516,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,690.0,0.0,146.11664913250172,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
58,59,1712903004.352375,701.0,133.8,20.0,120.0,191.4,0.0,146.11664913250172,0.0,0.0,0.0,0.0,0.0,0.0,3.736920777279521,0.0,0.0,0.0,1.0,4.0,58,438.34994739750516,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,701.0,0.0,146.11664913250172,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
