Stroke count,Interval count,Drive length (m),Drive time (s),Stroke recovery time (s),Stroke distance (m),Peak drive force (kg,Avg. drive force (kg,Work per stroke (J),Stroke power (W),Stroke calories (cal/hr),Projected work time,Projected work distance,Time to peak (%),Plot
91,2,1.24,0.87,2.78,12.03,38.1,26.9,301,75,557,0:00,5367 m,57,11.0 - 26.0 - 26.0 - 37.0 - 44.0 - 44.0 - 50.0 - 50.0 - 55.0 - 63.0 - 63.0 - 68.0 - 68.0 - 66.0 - 77.0 - 77.0 - 75.0 - 81.0 - 81.0 - 77.0 - 80.0 - 80.0 - 80.0 - 81.0 - 81.0 - 81.0 - 79.0 - 79.0 - 81.0 - 83.0 - 80.0 - 80.0 - 83.0 - 83.0 - 83.0 - 81.0 - 77.0 - 75.0 - 75.0 - 69.0 - 67.0 - 63.0 - 58.0 - 58.0 - 52.0 - 44.0 - 33.0 - 33.0 - 27.0 - 19.0 - 13.0 - 13.0 - 4.0
92,2,1.21,0.84,2.77,11.41,37.4,27.5,287,75,560,0:00,5381 m,47,17.0 - 38.0 - 38.0 - 48.0 - 48.0 - 58.0 - 61.0 - 61.0 - 64.0 - 68.0 - 68.0 - 70.0 - 70.0 - 76.0 - 74.0 - 74.0 - 77.0 - 81.0 - 81.0 - 79.0 - 81.0 - 81.0 - 81.0 - 82.0 - 82.0 - 82.0 - 81.0 - 80.0 - 80.0 - 82.0 - 82.0 - 80.0 - 80.0 - 81.0 - 78.0 - 74.0 - 74.0 - 71.0 - 66.0 - 60.0 - 60.0 - 51.0 - 48.0 - 40.0 - 40.0 - 35.0 - 26.0 - 19.0 - 13.0 - 13.0 - 4.0
93,2,1.21,0.87,2.92,11.48,37.5,24.9,289,75,560,0:00,5380 m,55,15.0 - 27.0 - 27.0 - 35.0 - 38.0 - 38.0 - 40.0 - 40.0 - 45.0 - 49.0 - 49.0 - 57.0 - 57.0 - 58.0 - 64.0 - 64.0 - 67.0 - 72.0 - 72.0 - 74.0 - 76.0 - 76.0 - 74.0 - 75.0 - 75.0 - 79.0 - 79.0 - 79.0 - 82.0 - 78.0 - 74.0 - 74.0 - 79.0 - 79.0 - 79.0 - 74.0 - 72.0 - 70.0 - 70.0 - 69.0 - 67.0 - 64.0 - 64.0 - 56.0 - 48.0 - 39.0 - 39.0 - 34.0 - 25.0 - 20.0 - 20.0 - 10.0 - 7.0
94,2,1.21,0.84,3,11.61,40.6,28.6,284,72,549,0:00,5321 m,52,24.0 - 35.0 - 35.0 - 46.0 - 46.0 - 46.0 - 51.0 - 51.0 - 54.0 - 62.0 - 62.0 - 66.0 - 71.0 - 71.0 - 74.0 - 79.0 - 79.0 - 82.0 - 82.0 - 84.0 - 84.0 - 84.0 - 85.0 - 88.0 - 88.0 - 88.0 - 89.0 - 80.0 - 80.0 - 87.0 - 84.0 - 79.0 - 79.0 - 77.0 - 80.0 - 81.0 - 81.0 - 81.0 - 80.0 - 72.0 - 72.0 - 68.0 - 58.0 - 51.0 - 51.0 - 43.0 - 33.0 - 23.0 - 23.0 - 14.0 - 8.0 - 0.0
95,2,1.21,0.85,2.85,12.03,40.6,27,299,74,555,0:00,5354 m,46,15.0 - 26.0 - 26.0 - 34.0 - 39.0 - 39.0 - 45.0 - 45.0 - 49.0 - 54.0 - 54.0 - 60.0 - 65.0 - 65.0 - 74.0 - 74.0 - 74.0 - 80.0 - 80.0 - 81.0 - 87.0 - 87.0 - 80.0 - 89.0 - 89.0 - 89.0 - 88.0 - 88.0 - 87.0 - 86.0 - 88.0 - 88.0 - 84.0 - 87.0 - 80.0 - 80.0 - 80.0 - 73.0 - 70.0 - 70.0 - 66.0 - 57.0 - 49.0 - 49.0 - 41.0 - 35.0 - 27.0 - 27.0 - 21.0 - 12.0 - 8.0 - 8.0
96,2,1.21,0.88,2.85,11.6,38.5,24.9,285,73,550,0:00,5327 m,61,11.0 - 24.0 - 24.0 - 27.0 - 36.0 - 36.0 - 37.0 - 37.0 - 42.0 - 43.0 - 43.0 - 43.0 - 43.0 - 52.0 - 53.0 - 53.0 - 59.0 - 62.0 - 62.0 - 67.0 - 67.0 - 69.0 - 72.0 - 72.0 - 73.0 - 78.0 - 78.0 - 76.0 - 80.0 - 80.0 - 82.0 - 81.0 - 84.0 - 84.0 - 82.0 - 75.0 - 75.0 - 81.0 - 84.0 - 83.0 - 83.0 - 72.0 - 66.0 - 60.0 - 60.0 - 57.0 - 51.0 - 41.0 - 41.0 - 32.0 - 20.0 - 13.0 - 13.0 - 6.0
97,2,1.24,0.87,2.71,11.47,41.7,26.9,280,72,548,0:00,5314 m,43,11.0 - 23.0 - 23.0 - 35.0 - 35.0 - 40.0 - 45.0 - 45.0 - 52.0 - 52.0 - 59.0 - 62.0 - 62.0 - 65.0 - 73.0 - 73.0 - 79.0 - 79.0 - 85.0 - 83.0 - 83.0 - 88.0 - 92.0 - 92.0 - 87.0 - 89.0 - 89.0 - 89.0 - 88.0 - 87.0 - 87.0 - 85.0 - 83.0 - 86.0 - 86.0 - 84.0 - 79.0 - 79.0 - 74.0 - 69.0 - 61.0 - 57.0 - 57.0 - 49.0 - 45.0 - 35.0 - 35.0 - 32.0 - 23.0 - 18.0 - 18.0 - 8.0 - 2.0
98,2,1.21,0.84,2.69,11.19,38,26.3,281,75,558,0:00,5372 m,67,23.0 - 34.0 - 34.0 - 45.0 - 48.0 - 48.0 - 52.0 - 52.0 - 60.0 - 64.0 - 64.0 - 64.0 - 69.0 - 69.0 - 70.0 - 71.0 - 71.0 - 75.0 - 73.0 - 73.0 - 74.0 - 76.0 - 76.0 - 77.0 - 74.0 - 74.0 - 75.0 - 77.0 - 75.0 - 75.0 - 68.0 - 80.0 - 80.0 - 76.0 - 83.0 - 73.0 - 73.0 - 70.0 - 69.0 - 64.0 - 64.0 - 57.0 - 52.0 - 44.0 - 44.0 - 35.0 - 26.0 - 18.0 - 18.0 - 12.0 - 7.0 - 0.0
99,2,1.12,0.8,2.7,10.98,36.4,25.6,274,74,556,0:00,5358 m,49,18.0 - 32.0 - 32.0 - 40.0 - 46.0 - 46.0 - 48.0 - 48.0 - 58.0 - 60.0 - 60.0 - 65.0 - 67.0 - 67.0 - 71.0 - 69.0 - 69.0 - 74.0 - 72.0 - 72.0 - 78.0 - 77.0 - 77.0 - 80.0 - 73.0 - 73.0 - 74.0 - 76.0 - 76.0 - 72.0 - 71.0 - 70.0 - 70.0 - 72.0 - 71.0 - 70.0 - 70.0 - 63.0 - 59.0 - 51.0 - 51.0 - 44.0 - 39.0 - 39.0 - 31.0 - 25.0 - 15.0 - 15.0 - 14.0
100,2,1.18,0.85,2.66,10.97,36.1,25.5,268,72,549,0:00,5319 m,47,18.0 - 34.0 - 42.0 - 42.0 - 47.0 - 47.0 - 45.0 - 56.0 - 56.0 - 58.0 - 58.0 - 64.0 - 57.0 - 57.0 - 68.0 - 71.0 - 71.0 - 74.0 - 70.0 - 70.0 - 76.0 - 75.0 - 75.0 - 78.0 - 79.0 - 79.0 - 78.0 - 79.0 - 79.0 - 76.0 - 76.0 - 79.0 - 79.0 - 75.0 - 70.0 - 70.0 - 67.0 - 67.0 - 65.0 - 65.0 - 61.0 - 56.0 - 49.0 - 49.0 - 38.0 - 38.0 - 27.0 - 27.0 - 24.0 - 11.0 - 6.0 - 6.0 - 0.0
101,2,1.21,0.85,2.83,10.91,41.1,25.9,269,73,552,0:00,5336 m,46,13.0 - 25.0 - 30.0 - 30.0 - 37.0 - 37.0 - 37.0 - 46.0 - 46.0 - 49.0 - 49.0 - 56.0 - 61.0 - 61.0 - 66.0 - 66.0 - 75.0 - 75.0 - 75.0 - 84.0 - 87.0 - 87.0 - 88.0 - 90.0 - 90.0 - 89.0 - 87.0 - 85.0 - 85.0 - 87.0 - 83.0 - 83.0 - 85.0 - 77.0 - 74.0 - 74.0 - 69.0 - 69.0 - 62.0 - 62.0 - 57.0 - 56.0 - 49.0 - 49.0 - 46.0 - 33.0 - 26.0 - 26.0 - 20.0 - 12.0 - 7.0 - 7.0
102,2,1.24,0.86,2.75,11.54,41.2,27,285,73,553,0:00,5341 m,57,13.0 - 28.0 - 28.0 - 41.0 - 41.0 - 46.0 - 51.0 - 51.0 - 55.0 - 64.0 - 64.0 - 66.0 - 66.0 - 72.0 - 73.0 - 73.0 - 80.0 - 80.0 - 80.0 - 82.0 - 83.0 - 83.0 - 87.0 - 87.0 - 87.0 - 87.0 - 88.0 - 88.0 - 85.0 - 90.0 - 90.0 - 90.0 - 85.0 - 81.0 - 77.0 - 77.0 - 71.0 - 68.0 - 65.0 - 65.0 - 60.0 - 56.0 - 52.0 - 52.0 - 45.0 - 40.0 - 30.0 - 30.0 - 24.0 - 17.0 - 9.0 - 9.0 - 4.0
103,2,1.18,0.82,2.84,11.25,38.3,26.3,282,75,558,0:00,5369 m,60,16.0 - 29.0 - 29.0 - 39.0 - 47.0 - 47.0 - 50.0 - 50.0 - 59.0 - 58.0 - 58.0 - 64.0 - 64.0 - 64.0 - 72.0 - 72.0 - 71.0 - 74.0 - 74.0 - 75.0 - 79.0 - 79.0 - 79.0 - 81.0 - 81.0 - 81.0 - 79.0 - 83.0 - 83.0 - 84.0 - 80.0 - 80.0 - 80.0 - 78.0 - 76.0 - 76.0 - 73.0 - 75.0 - 67.0 - 67.0 - 63.0 - 51.0 - 42.0 - 42.0 - 34.0 - 24.0 - 17.0 - 17.0 - 11.0 - 5.0
104,2,1.18,0.82,2.94,11.39,40.4,27.3,280,73,550,0:00,5327 m,40,17.0 - 31.0 - 31.0 - 41.0 - 47.0 - 47.0 - 52.0 - 52.0 - 57.0 - 62.0 - 62.0 - 69.0 - 69.0 - 69.0 - 74.0 - 74.0 - 78.0 - 85.0 - 85.0 - 89.0 - 83.0 - 83.0 - 87.0 - 87.0 - 87.0 - 84.0 - 83.0 - 85.0 - 85.0 - 80.0 - 83.0 - 83.0 - 82.0 - 83.0 - 79.0 - 79.0 - 75.0 - 67.0 - 64.0 - 64.0 - 56.0 - 48.0 - 41.0 - 41.0 - 32.0 - 26.0 - 17.0 - 17.0 - 13.0 - 7.0
105,2,1.24,0.88,2.81,11.83,36.5,26.4,289,72,548,0:00,5318 m,37,16.0 - 30.0 - 30.0 - 36.0 - 36.0 - 42.0 - 46.0 - 46.0 - 51.0 - 51.0 - 60.0 - 60.0 - 60.0 - 69.0 - 69.0 - 69.0 - 77.0 - 73.0 - 73.0 - 80.0 - 80.0 - 76.0 - 76.0 - 76.0 - 80.0 - 79.0 - 80.0 - 80.0 - 77.0 - 79.0 - 79.0 - 76.0 - 77.0 - 77.0 - 79.0 - 79.0 - 78.0 - 78.0 - 76.0 - 71.0 - 69.0 - 69.0 - 65.0 - 61.0 - 53.0 - 53.0 - 46.0 - 34.0 - 27.0 - 27.0 - 19.0 - 12.0 - 6.0 - 6.0
106,2,1.24,0.87,2.78,11.46,35.9,26.9,283,73,552,0:00,5339 m,50,20.0 - 34.0 - 34.0 - 45.0 - 49.0 - 49.0 - 54.0 - 60.0 - 60.0 - 64.0 - 64.0 - 63.0 - 67.0 - 67.0 - 69.0 - 76.0 - 76.0 - 74.0 - 72.0 - 72.0 - 75.0 - 76.0 - 76.0 - 76.0 - 77.0 - 77.0 - 79.0 - 76.0 - 76.0 - 77.0 - 78.0 - 79.0 - 79.0 - 77.0 - 74.0 - 74.0 - 72.0 - 76.0 - 78.0 - 78.0 - 72.0 - 66.0 - 61.0 - 53.0 - 53.0 - 48.0 - 40.0 - 30.0 - 30.0 - 22.0 - 13.0 - 8.0 - 8.0 - 0.0
107,2,1.24,0.87,2.86,11.47,39,26.3,288,75,559,0:00,5373 m,54,11.0 - 27.0 - 27.0 - 36.0 - 42.0 - 42.0 - 45.0 - 45.0 - 47.0 - 52.0 - 52.0 - 54.0 - 54.0 - 61.0 - 63.0 - 63.0 - 68.0 - 71.0 - 71.0 - 78.0 - 75.0 - 75.0 - 82.0 - 82.0 - 82.0 - 84.0 - 82.0 - 82.0 - 86.0 - 84.0 - 85.0 - 85.0 - 80.0 - 79.0 - 79.0 - 81.0 - 80.0 - 75.0 - 75.0 - 71.0 - 68.0 - 61.0 - 61.0 - 58.0 - 51.0 - 45.0 - 38.0 - 38.0 - 31.0 - 22.0 - 13.0 - 13.0 - 11.0 - 0.0
108,2,1.18,0.85,2.92,11.61,35.8,25.9,290,75,557,0:00,5362 m,45,24.0 - 40.0 - 40.0 - 44.0 - 46.0 - 46.0 - 48.0 - 48.0 - 56.0 - 60.0 - 60.0 - 65.0 - 64.0 - 64.0 - 70.0 - 70.0 - 71.0 - 74.0 - 74.0 - 76.0 - 78.0 - 78.0 - 78.0 - 79.0 - 79.0 - 78.0 - 75.0 - 77.0 - 77.0 - 77.0 - 71.0 - 71.0 - 76.0 - 77.0 - 75.0 - 75.0 - 67.0 - 66.0 - 61.0 - 61.0 - 58.0 - 51.0 - 46.0 - 46.0 - 41.0 - 35.0 - 26.0 - 26.0 - 20.0 - 15.0 - 9.0 - 9.0 - 0.0
109,2,1.24,0.87,2.83,11.68,39.1,27.6,284,72,547,0:00,5312 m,62,16.0 - 30.0 - 30.0 - 37.0 - 37.0 - 48.0 - 50.0 - 50.0 - 58.0 - 58.0 - 63.0 - 68.0 - 68.0 - 68.0 - 72.0 - 72.0 - 73.0 - 80.0 - 80.0 - 79.0 - 82.0 - 82.0 - 82.0 - 82.0 - 82.0 - 80.0 - 83.0 - 83.0 - 83.0 - 80.0 - 80.0 - 81.0 - 86.0 - 82.0 - 82.0 - 78.0 - 75.0 - 73.0 - 73.0 - 75.0 - 74.0 - 69.0 - 69.0 - 66.0 - 58.0 - 48.0 - 48.0 - 41.0 - 28.0 - 20.0 - 20.0 - 11.0 - 7.0
110,2,1.24,0.86,2.82,11.6,44.6,28.8,292,75,559,0:00,5375 m,60,15.0 - 29.0 - 29.0 - 37.0 - 42.0 - 42.0 - 45.0 - 45.0 - 47.0 - 56.0 - 56.0 - 56.0 - 67.0 - 67.0 - 70.0 - 70.0 - 80.0 - 79.0 - 79.0 - 80.0 - 85.0 - 85.0 - 89.0 - 90.0 - 90.0 - 89.0 - 90.0 - 90.0 - 90.0 - 94.0 - 98.0 - 95.0 - 95.0 - 93.0 - 92.0 - 88.0 - 88.0 - 86.0 - 84.0 - 76.0 - 76.0 - 72.0 - 66.0 - 55.0 - 55.0 - 50.0 - 38.0 - 30.0 - 22.0 - 22.0 - 11.0 - 11.0
111,2,1.18,0.81,2.92,11.61,37.8,26.3,300,79,571,0:00,5436 m,42,17.0 - 34.0 - 34.0 - 37.0 - 43.0 - 43.0 - 45.0 - 45.0 - 49.0 - 60.0 - 60.0 - 62.0 - 73.0 - 73.0 - 70.0 - 79.0 - 79.0 - 79.0 - 80.0 - 80.0 - 83.0 - 83.0 - 83.0 - 81.0 - 80.0 - 80.0 - 82.0 - 80.0 - 80.0 - 80.0 - 76.0 - 73.0 - 73.0 - 76.0 - 74.0 - 71.0 - 71.0 - 64.0 - 61.0 - 55.0 - 55.0 - 51.0 - 44.0 - 37.0 - 29.0 - 29.0 - 23.0 - 16.0 - 10.0 - 10.0
112,2,1.27,0.89,2.78,11.88,40.3,27.5,294,74,553,0:00,5343 m,43,10.0 - 22.0 - 22.0 - 35.0 - 41.0 - 41.0 - 50.0 - 50.0 - 53.0 - 61.0 - 61.0 - 59.0 - 59.0 - 67.0 - 72.0 - 72.0 - 75.0 - 82.0 - 82.0 - 86.0 - 84.0 - 84.0 - 88.0 - 87.0 - 87.0 - 87.0 - 85.0 - 85.0 - 88.0 - 86.0 - 86.0 - 86.0 - 81.0 - 83.0 - 83.0 - 82.0 - 79.0 - 76.0 - 76.0 - 73.0 - 74.0 - 63.0 - 63.0 - 61.0 - 57.0 - 52.0 - 46.0 - 46.0 - 39.0 - 30.0 - 23.0 - 23.0 - 15.0 - 8.0
113,2,1.15,0.79,2.97,11.35,44.7,27.5,290,77,566,0:00,5412 m,46,14.0 - 29.0 - 29.0 - 40.0 - 51.0 - 51.0 - 55.0 - 55.0 - 59.0 - 67.0 - 67.0 - 67.0 - 78.0 - 78.0 - 74.0 - 85.0 - 85.0 - 80.0 - 88.0 - 88.0 - 93.0 - 98.0 - 98.0 - 92.0 - 91.0 - 90.0 - 90.0 - 87.0 - 85.0 - 85.0 - 79.0 - 74.0 - 71.0 - 71.0 - 69.0 - 63.0 - 59.0 - 59.0 - 55.0 - 45.0 - 43.0 - 43.0 - 35.0 - 30.0 - 21.0 - 15.0 - 15.0 - 11.0
114,2,1.21,0.87,2.99,11.96,38.9,25.8,295,73,552,0:00,5340 m,34,20.0 - 33.0 - 33.0 - 46.0 - 54.0 - 54.0 - 56.0 - 56.0 - 64.0 - 65.0 - 65.0 - 76.0 - 76.0 - 81.0 - 84.0 - 84.0 - 84.0 - 85.0 - 85.0 - 81.0 - 84.0 - 84.0 - 83.0 - 79.0 - 79.0 - 78.0 - 71.0 - 76.0 - 76.0 - 73.0 - 74.0 - 74.0 - 62.0 - 63.0 - 62.0 - 62.0 - 57.0 - 55.0 - 52.0 - 52.0 - 49.0 - 45.0 - 46.0 - 46.0 - 41.0 - 38.0 - 30.0 - 30.0 - 25.0 - 20.0 - 15.0 - 15.0 - 8.0
115,2,1.21,0.89,2.46,11.82,35.6,23.4,282,70,540,0:00,5274 m,40,17.0 - 31.0 - 31.0 - 36.0 - 36.0 - 39.0 - 42.0 - 42.0 - 48.0 - 48.0 - 52.0 - 60.0 - 60.0 - 60.0 - 60.0 - 71.0 - 66.0 - 66.0 - 75.0 - 72.0 - 72.0 - 78.0 - 72.0 - 72.0 - 77.0 - 76.0 - 76.0 - 74.0 - 74.0 - 74.0 - 73.0 - 69.0 - 69.0 - 69.0 - 65.0 - 67.0 - 67.0 - 62.0 - 58.0 - 58.0 - 53.0 - 49.0 - 51.0 - 51.0 - 46.0 - 43.0 - 31.0 - 31.0 - 24.0 - 21.0 - 21.0 - 16.0 - 10.0 - 6.0 - 6.0
116,2,1.21,0.88,2.68,10.28,34,23.6,246,70,541,0:00,5280 m,44,15.0 - 32.0 - 32.0 - 43.0 - 47.0 - 47.0 - 46.0 - 46.0 - 49.0 - 53.0 - 53.0 - 55.0 - 59.0 - 59.0 - 62.0 - 62.0 - 68.0 - 65.0 - 65.0 - 71.0 - 73.0 - 73.0 - 71.0 - 74.0 - 74.0 - 73.0 - 72.0 - 72.0 - 72.0 - 73.0 - 71.0 - 71.0 - 70.0 - 66.0 - 66.0 - 70.0 - 68.0 - 68.0 - 68.0 - 57.0 - 55.0 - 53.0 - 53.0 - 49.0 - 43.0 - 43.0 - 32.0 - 27.0 - 20.0 - 20.0 - 16.0 - 8.0 - 3.0 - 3.0 - 0.0
117,2,1.24,0.86,2.73,10.91,42.9,29.1,265,72,547,0:00,5309 m,46,21.0 - 32.0 - 32.0 - 40.0 - 45.0 - 45.0 - 49.0 - 49.0 - 58.0 - 61.0 - 61.0 - 69.0 - 69.0 - 69.0 - 78.0 - 78.0 - 77.0 - 83.0 - 83.0 - 84.0 - 90.0 - 90.0 - 85.0 - 94.0 - 92.0 - 92.0 - 92.0 - 88.0 - 88.0 - 91.0 - 87.0 - 86.0 - 86.0 - 88.0 - 85.0 - 87.0 - 87.0 - 80.0 - 75.0 - 72.0 - 72.0 - 68.0 - 63.0 - 57.0 - 57.0 - 49.0 - 41.0 - 31.0 - 22.0 - 22.0 - 14.0 - 8.0
118,2,1.21,0.83,3.42,11.39,40.3,27.3,296,79,573,0:00,5443 m,52,22.0 - 34.0 - 42.0 - 42.0 - 44.0 - 44.0 - 48.0 - 54.0 - 54.0 - 57.0 - 67.0 - 67.0 - 70.0 - 76.0 - 76.0 - 77.0 - 80.0 - 80.0 - 81.0 - 86.0 - 86.0 - 85.0 - 84.0 - 84.0 - 84.0 - 88.0 - 85.0 - 85.0 - 84.0 - 81.0 - 81.0 - 81.0 - 82.0 - 82.0 - 82.0 - 76.0 - 73.0 - 71.0 - 63.0 - 63.0 - 60.0 - 51.0 - 39.0 - 39.0 - 35.0 - 25.0 - 21.0 - 21.0 - 9.0 - 3.0
119,2,1.21,0.89,2.51,13.21,39.6,26.4,319,71,544,0:00,5296 m,41,11.0 - 26.0 - 26.0 - 40.0 - 40.0 - 50.0 - 54.0 - 54.0 - 58.0 - 58.0 - 66.0 - 69.0 - 69.0 - 72.0 - 72.0 - 74.0 - 68.0 - 68.0 - 81.0 - 79.0 - 79.0 - 87.0 - 80.0 - 80.0 - 79.0 - 76.0 - 76.0 - 77.0 - 77.0 - 77.0 - 74.0 - 75.0 - 76.0 - 76.0 - 71.0 - 71.0 - 71.0 - 72.0 - 69.0 - 68.0 - 68.0 - 63.0 - 58.0 - 55.0 - 55.0 - 49.0 - 43.0 - 34.0 - 34.0 - 28.0 - 22.0 - 15.0 - 15.0 - 7.0
120,2,1.21,0.84,2.71,10.49,38.4,26.4,261,74,555,0:00,5355 m,40,14.0 - 31.0 - 31.0 - 41.0 - 48.0 - 48.0 - 51.0 - 56.0 - 56.0 - 57.0 - 57.0 - 66.0 - 66.0 - 66.0 - 70.0 - 71.0 - 71.0 - 80.0 - 82.0 - 82.0 - 84.0 - 83.0 - 83.0 - 81.0 - 84.0 - 84.0 - 82.0 - 78.0 - 81.0 - 81.0 - 81.0 - 77.0 - 77.0 - 74.0 - 74.0 - 71.0 - 71.0 - 71.0 - 66.0 - 60.0 - 55.0 - 55.0 - 48.0 - 41.0 - 33.0 - 33.0 - 29.0 - 21.0 - 13.0 - 13.0 - 9.0 - 0.0
121,2,1.18,0.81,2.76,11.12,40.3,27.9,281,76,561,0:00,5384 m,50,23.0 - 36.0 - 36.0 - 45.0 - 43.0 - 43.0 - 51.0 - 51.0 - 53.0 - 61.0 - 61.0 - 62.0 - 66.0 - 66.0 - 74.0 - 74.0 - 75.0 - 78.0 - 78.0 - 82.0 - 83.0 - 84.0 - 84.0 - 87.0 - 88.0 - 88.0 - 86.0 - 86.0 - 86.0 - 88.0 - 87.0 - 86.0 - 86.0 - 84.0 - 80.0 - 74.0 - 74.0 - 77.0 - 71.0 - 70.0 - 70.0 - 55.0 - 45.0 - 39.0 - 28.0 - 28.0 - 19.0 - 11.0 - 4.0 - 4.0
