Stroke count,Interval count,Drive length (m),Drive time (s),Stroke recovery time (s),Stroke distance (m),Peak drive force (kg,Avg. drive force (kg,Work per stroke (J),Stroke power (W),Stroke calories (cal/hr),Projected work time,Projected work distance,Time to peak (%),Plot
122,2,1.27,0.87,2.86,11.54,41.3,27.7,294,77,565,0:00,5405 m,52,13.0 - 28.0 - 28.0 - 40.0 - 49.0 - 49.0 - 51.0 - 51.0 - 57.0 - 63.0 - 63.0 - 64.0 - 70.0 - 70.0 - 72.0 - 78.0 - 78.0 - 79.0 - 82.0 - 82.0 - 85.0 - 84.0 - 84.0 - 83.0 - 89.0 - 89.0 - 85.0 - 91.0 - 91.0 - 84.0 - 81.0 - 83.0 - 83.0 - 85.0 - 82.0 - 82.0 - 82.0 - 78.0 - 74.0 - 71.0 - 71.0 - 68.0 - 61.0 - 55.0 - 49.0 - 49.0 - 42.0 - 33.0 - 25.0 - 19.0 - 19.0 - 13.0 - 5.0 - 0.0
123,2,1.27,0.87,3.09,11.89,40.8,28.7,308,79,571,0:00,5436 m,47,17.0 - 30.0 - 43.0 - 43.0 - 49.0 - 49.0 - 53.0 - 62.0 - 62.0 - 62.0 - 71.0 - 71.0 - 70.0 - 70.0 - 77.0 - 77.0 - 77.0 - 83.0 - 82.0 - 82.0 - 86.0 - 85.0 - 85.0 - 85.0 - 89.0 - 89.0 - 89.0 - 84.0 - 87.0 - 89.0 - 89.0 - 83.0 - 85.0 - 86.0 - 86.0 - 84.0 - 80.0 - 78.0 - 78.0 - 74.0 - 72.0 - 65.0 - 59.0 - 59.0 - 52.0 - 45.0 - 36.0 - 36.0 - 28.0 - 19.0 - 11.0 - 7.0 - 7.0
124,2,1.21,0.84,3.09,12.45,41.5,28.4,320,78,567,0:00,5417 m,53,10.0 - 27.0 - 27.0 - 39.0 - 47.0 - 47.0 - 55.0 - 55.0 - 58.0 - 67.0 - 67.0 - 68.0 - 75.0 - 75.0 - 76.0 - 76.0 - 84.0 - 84.0 - 84.0 - 87.0 - 87.0 - 87.0 - 87.0 - 86.0 - 85.0 - 85.0 - 91.0 - 84.0 - 84.0 - 87.0 - 84.0 - 85.0 - 85.0 - 84.0 - 82.0 - 77.0 - 77.0 - 75.0 - 73.0 - 66.0 - 66.0 - 63.0 - 56.0 - 46.0 - 37.0 - 37.0 - 29.0 - 23.0 - 15.0 - 15.0 - 8.0
125,2,1.27,0.89,2.74,12.45,35.7,26.3,310,74,556,0:00,5359 m,64,22.0 - 36.0 - 36.0 - 43.0 - 46.0 - 46.0 - 48.0 - 48.0 - 53.0 - 59.0 - 59.0 - 58.0 - 58.0 - 63.0 - 62.0 - 62.0 - 67.0 - 68.0 - 68.0 - 73.0 - 68.0 - 68.0 - 75.0 - 75.0 - 75.0 - 73.0 - 74.0 - 74.0 - 75.0 - 76.0 - 76.0 - 74.0 - 74.0 - 74.0 - 74.0 - 78.0 - 77.0 - 76.0 - 76.0 - 74.0 - 76.0 - 76.0 - 73.0 - 72.0 - 63.0 - 53.0 - 53.0 - 46.0 - 38.0 - 29.0 - 29.0 - 19.0 - 13.0 - 4.0 - 4.0 - 0.0
126,2,1.24,0.87,2.67,11.33,36.5,25,283,75,557,0:00,5362 m,58,17.0 - 28.0 - 28.0 - 32.0 - 40.0 - 40.0 - 40.0 - 49.0 - 49.0 - 45.0 - 45.0 - 52.0 - 52.0 - 52.0 - 58.0 - 61.0 - 61.0 - 66.0 - 66.0 - 65.0 - 73.0 - 73.0 - 73.0 - 76.0 - 76.0 - 76.0 - 76.0 - 76.0 - 76.0 - 78.0 - 80.0 - 80.0 - 74.0 - 74.0 - 74.0 - 74.0 - 74.0 - 78.0 - 78.0 - 76.0 - 73.0 - 67.0 - 67.0 - 62.0 - 55.0 - 48.0 - 48.0 - 40.0 - 30.0 - 22.0 - 22.0 - 12.0 - 9.0
127,2,1.24,0.87,3.11,11.11,38.3,25.2,276,74,554,0:00,5351 m,57,12.0 - 24.0 - 24.0 - 32.0 - 39.0 - 39.0 - 41.0 - 41.0 - 47.0 - 51.0 - 51.0 - 55.0 - 56.0 - 56.0 - 60.0 - 60.0 - 65.0 - 69.0 - 69.0 - 70.0 - 72.0 - 72.0 - 76.0 - 73.0 - 73.0 - 74.0 - 80.0 - 80.0 - 80.0 - 84.0 - 79.0 - 79.0 - 80.0 - 84.0 - 84.0 - 83.0 - 77.0 - 73.0 - 73.0 - 75.0 - 68.0 - 65.0 - 65.0 - 56.0 - 49.0 - 42.0 - 42.0 - 35.0 - 27.0 - 21.0 - 21.0 - 11.0 - 6.0
128,2,1.15,0.84,2.8,12.1,39.1,26.4,290,70,541,0:00,5282 m,41,20.0 - 30.0 - 30.0 - 39.0 - 44.0 - 44.0 - 49.0 - 49.0 - 56.0 - 61.0 - 61.0 - 67.0 - 67.0 - 70.0 - 74.0 - 74.0 - 77.0 - 79.0 - 79.0 - 85.0 - 86.0 - 86.0 - 81.0 - 84.0 - 84.0 - 84.0 - 81.0 - 81.0 - 79.0 - 82.0 - 82.0 - 78.0 - 76.0 - 70.0 - 70.0 - 70.0 - 67.0 - 67.0 - 64.0 - 57.0 - 52.0 - 52.0 - 47.0 - 39.0 - 35.0 - 35.0 - 28.0 - 21.0 - 13.0 - 13.0 - 11.0
129,2,1.21,0.85,2.94,11.19,39.7,27.9,269,70,543,0:00,5290 m,50,17.0 - 30.0 - 30.0 - 40.0 - 40.0 - 45.0 - 50.0 - 50.0 - 53.0 - 53.0 - 57.0 - 62.0 - 62.0 - 64.0 - 70.0 - 70.0 - 70.0 - 76.0 - 76.0 - 78.0 - 78.0 - 82.0 - 82.0 - 86.0 - 86.0 - 87.0 - 85.0 - 85.0 - 87.0 - 85.0 - 85.0 - 82.0 - 86.0 - 85.0 - 85.0 - 85.0 - 81.0 - 82.0 - 82.0 - 74.0 - 73.0 - 66.0 - 66.0 - 59.0 - 52.0 - 44.0 - 44.0 - 33.0 - 24.0 - 16.0 - 16.0 - 9.0
130,2,1.21,0.85,2.72,11.8,38.6,26.8,292,73,553,0:00,5341 m,46,14.0 - 29.0 - 29.0 - 36.0 - 44.0 - 44.0 - 45.0 - 45.0 - 54.0 - 57.0 - 57.0 - 62.0 - 62.0 - 65.0 - 68.0 - 68.0 - 76.0 - 75.0 - 75.0 - 80.0 - 80.0 - 80.0 - 82.0 - 85.0 - 85.0 - 82.0 - 84.0 - 84.0 - 83.0 - 81.0 - 83.0 - 83.0 - 83.0 - 77.0 - 77.0 - 77.0 - 74.0 - 73.0 - 73.0 - 72.0 - 67.0 - 60.0 - 60.0 - 50.0 - 48.0 - 36.0 - 33.0 - 33.0 - 18.0 - 15.0 - 8.0 - 8.0
131,2,1.15,0.83,2.68,11.11,37.1,24.8,276,74,554,0:00,5350 m,53,23.0 - 29.0 - 29.0 - 38.0 - 39.0 - 39.0 - 42.0 - 42.0 - 48.0 - 54.0 - 54.0 - 56.0 - 56.0 - 63.0 - 63.0 - 63.0 - 70.0 - 72.0 - 72.0 - 75.0 - 77.0 - 77.0 - 77.0 - 76.0 - 76.0 - 74.0 - 81.0 - 81.0 - 77.0 - 78.0 - 76.0 - 76.0 - 72.0 - 72.0 - 72.0 - 67.0 - 64.0 - 63.0 - 63.0 - 60.0 - 54.0 - 50.0 - 50.0 - 42.0 - 35.0 - 28.0 - 28.0 - 21.0 - 14.0 - 10.0 - 10.0
132,2,1.24,0.87,3.16,10.97,40.3,25.9,268,72,548,0:00,5316 m,45,12.0 - 28.0 - 28.0 - 39.0 - 47.0 - 47.0 - 47.0 - 47.0 - 52.0 - 51.0 - 51.0 - 55.0 - 55.0 - 60.0 - 61.0 - 61.0 - 66.0 - 66.0 - 66.0 - 69.0 - 75.0 - 75.0 - 79.0 - 88.0 - 88.0 - 80.0 - 83.0 - 83.0 - 81.0 - 80.0 - 80.0 - 82.0 - 78.0 - 73.0 - 73.0 - 73.0 - 74.0 - 69.0 - 69.0 - 69.0 - 65.0 - 63.0 - 63.0 - 60.0 - 56.0 - 48.0 - 48.0 - 39.0 - 31.0 - 18.0 - 18.0 - 16.0 - 12.0
133,2,1.21,0.89,2.98,12.37,39.1,25.7,296,70,540,0:00,5278 m,51,12.0 - 27.0 - 27.0 - 36.0 - 39.0 - 39.0 - 40.0 - 40.0 - 47.0 - 52.0 - 52.0 - 59.0 - 59.0 - 61.0 - 68.0 - 68.0 - 68.0 - 68.0 - 75.0 - 78.0 - 78.0 - 79.0 - 80.0 - 80.0 - 85.0 - 82.0 - 82.0 - 86.0 - 84.0 - 84.0 - 84.0 - 83.0 - 82.0 - 82.0 - 82.0 - 83.0 - 83.0 - 77.0 - 72.0 - 67.0 - 67.0 - 64.0 - 59.0 - 53.0 - 53.0 - 47.0 - 34.0 - 30.0 - 30.0 - 22.0 - 16.0 - 9.0 - 9.0 - 6.0 - 0.0
134,2,1.18,0.87,2.61,11.68,39.6,26.4,277,69,537,0:00,5264 m,60,17.0 - 27.0 - 27.0 - 31.0 - 40.0 - 40.0 - 43.0 - 43.0 - 51.0 - 52.0 - 52.0 - 59.0 - 59.0 - 62.0 - 68.0 - 68.0 - 66.0 - 75.0 - 75.0 - 75.0 - 75.0 - 79.0 - 78.0 - 78.0 - 83.0 - 81.0 - 81.0 - 82.0 - 83.0 - 82.0 - 82.0 - 87.0 - 83.0 - 83.0 - 79.0 - 80.0 - 83.0 - 83.0 - 77.0 - 76.0 - 76.0 - 61.0 - 62.0 - 52.0 - 52.0 - 51.0 - 34.0 - 30.0 - 30.0 - 22.0 - 15.0 - 10.0 - 10.0
135,2,1.27,0.86,2.83,10.91,43.7,30.8,274,75,559,0:00,5371 m,51,22.0 - 34.0 - 34.0 - 43.0 - 44.0 - 44.0 - 55.0 - 55.0 - 60.0 - 70.0 - 70.0 - 70.0 - 77.0 - 77.0 - 78.0 - 86.0 - 86.0 - 86.0 - 90.0 - 90.0 - 91.0 - 94.0 - 94.0 - 90.0 - 92.0 - 92.0 - 96.0 - 90.0 - 92.0 - 92.0 - 90.0 - 91.0 - 90.0 - 90.0 - 89.0 - 86.0 - 83.0 - 83.0 - 83.0 - 81.0 - 81.0 - 77.0 - 77.0 - 66.0 - 62.0 - 55.0 - 45.0 - 45.0 - 34.0 - 22.0 - 15.0 - 8.0 - 8.0
136,2,1.27,0.86,3.04,12.03,40.3,27.4,325,84,588,0:00,5511 m,44,11.0 - 24.0 - 24.0 - 34.0 - 44.0 - 44.0 - 48.0 - 48.0 - 54.0 - 57.0 - 57.0 - 61.0 - 61.0 - 61.0 - 68.0 - 68.0 - 68.0 - 75.0 - 74.0 - 74.0 - 84.0 - 81.0 - 81.0 - 88.0 - 84.0 - 84.0 - 82.0 - 83.0 - 85.0 - 85.0 - 86.0 - 87.0 - 84.0 - 84.0 - 80.0 - 79.0 - 74.0 - 74.0 - 77.0 - 74.0 - 75.0 - 64.0 - 64.0 - 60.0 - 56.0 - 48.0 - 48.0 - 42.0 - 33.0 - 23.0 - 13.0 - 13.0 - 8.0 - 0.0
137,2,1.18,0.81,3.05,12.23,43.1,29.2,316,78,569,0:00,5423 m,63,15.0 - 30.0 - 30.0 - 38.0 - 38.0 - 44.0 - 46.0 - 46.0 - 55.0 - 60.0 - 60.0 - 69.0 - 69.0 - 72.0 - 81.0 - 81.0 - 80.0 - 87.0 - 87.0 - 90.0 - 88.0 - 88.0 - 91.0 - 89.0 - 89.0 - 89.0 - 90.0 - 91.0 - 91.0 - 92.0 - 95.0 - 93.0 - 93.0 - 86.0 - 85.0 - 82.0 - 82.0 - 78.0 - 73.0 - 67.0 - 60.0 - 60.0 - 51.0 - 44.0 - 33.0 - 33.0 - 25.0 - 16.0 - 6.0
138,2,1.24,0.86,2.94,12.3,42.9,29.5,312,76,562,0:00,5389 m,60,18.0 - 32.0 - 44.0 - 44.0 - 48.0 - 48.0 - 52.0 - 57.0 - 57.0 - 61.0 - 61.0 - 64.0 - 65.0 - 65.0 - 70.0 - 66.0 - 66.0 - 78.0 - 81.0 - 81.0 - 85.0 - 87.0 - 87.0 - 90.0 - 91.0 - 91.0 - 91.0 - 91.0 - 93.0 - 93.0 - 94.0 - 91.0 - 91.0 - 89.0 - 89.0 - 94.0 - 94.0 - 89.0 - 89.0 - 81.0 - 73.0 - 73.0 - 66.0 - 58.0 - 48.0 - 48.0 - 41.0 - 29.0 - 25.0 - 17.0 - 17.0 - 14.0
139,2,1.21,0.82,2.87,12.03,40.9,29.4,313,79,572,0:00,5438 m,58,23.0 - 38.0 - 38.0 - 51.0 - 54.0 - 54.0 - 61.0 - 61.0 - 64.0 - 70.0 - 70.0 - 71.0 - 74.0 - 74.0 - 77.0 - 84.0 - 84.0 - 82.0 - 86.0 - 86.0 - 85.0 - 88.0 - 88.0 - 88.0 - 89.0 - 85.0 - 85.0 - 88.0 - 90.0 - 86.0 - 86.0 - 86.0 - 84.0 - 81.0 - 81.0 - 82.0 - 79.0 - 72.0 - 72.0 - 66.0 - 60.0 - 54.0 - 48.0 - 48.0 - 39.0 - 31.0 - 22.0 - 22.0 - 16.0 - 8.0
140,2,1.21,0.83,2.98,11.81,42.9,27.7,306,79,572,0:00,5434 m,65,14.0 - 28.0 - 28.0 - 33.0 - 39.0 - 39.0 - 43.0 - 43.0 - 51.0 - 56.0 - 56.0 - 58.0 - 65.0 - 65.0 - 72.0 - 74.0 - 74.0 - 80.0 - 81.0 - 81.0 - 85.0 - 85.0 - 85.0 - 88.0 - 84.0 - 84.0 - 89.0 - 91.0 - 89.0 - 89.0 - 93.0 - 93.0 - 93.0 - 94.0 - 90.0 - 88.0 - 88.0 - 80.0 - 76.0 - 68.0 - 60.0 - 60.0 - 52.0 - 44.0 - 36.0 - 36.0 - 29.0 - 20.0 - 11.0 - 4.0 - 4.0 - 0.0
141,2,1.24,0.87,2.99,12.1,40.3,27.6,306,76,561,0:00,5383 m,57,14.0 - 29.0 - 29.0 - 37.0 - 39.0 - 39.0 - 40.0 - 40.0 - 46.0 - 50.0 - 50.0 - 53.0 - 60.0 - 60.0 - 61.0 - 61.0 - 73.0 - 72.0 - 72.0 - 79.0 - 82.0 - 82.0 - 85.0 - 86.0 - 86.0 - 86.0 - 87.0 - 87.0 - 84.0 - 87.0 - 88.0 - 88.0 - 82.0 - 84.0 - 85.0 - 85.0 - 84.0 - 83.0 - 83.0 - 84.0 - 79.0 - 76.0 - 66.0 - 66.0 - 58.0 - 51.0 - 44.0 - 44.0 - 32.0 - 24.0 - 14.0 - 10.0 - 10.0 - 0.0
142,2,1.24,0.86,2.96,12.09,39.5,27.9,304,75,559,0:00,5373 m,57,11.0 - 31.0 - 31.0 - 36.0 - 45.0 - 45.0 - 44.0 - 44.0 - 52.0 - 58.0 - 58.0 - 63.0 - 63.0 - 71.0 - 71.0 - 71.0 - 75.0 - 75.0 - 75.0 - 82.0 - 79.0 - 79.0 - 83.0 - 84.0 - 84.0 - 81.0 - 84.0 - 84.0 - 83.0 - 84.0 - 87.0 - 87.0 - 85.0 - 79.0 - 84.0 - 84.0 - 84.0 - 85.0 - 80.0 - 80.0 - 78.0 - 70.0 - 66.0 - 66.0 - 60.0 - 52.0 - 42.0 - 42.0 - 30.0 - 22.0 - 15.0 - 9.0 - 9.0 - 0.0
143,2,1.27,0.88,2.74,12.1,39.9,27.4,306,76,561,0:00,5385 m,59,12.0 - 26.0 - 26.0 - 37.0 - 37.0 - 41.0 - 49.0 - 49.0 - 54.0 - 59.0 - 59.0 - 59.0 - 59.0 - 66.0 - 67.0 - 67.0 - 74.0 - 73.0 - 73.0 - 79.0 - 80.0 - 80.0 - 81.0 - 80.0 - 80.0 - 83.0 - 84.0 - 84.0 - 81.0 - 84.0 - 84.0 - 88.0 - 84.0 - 84.0 - 84.0 - 83.0 - 82.0 - 80.0 - 80.0 - 82.0 - 75.0 - 73.0 - 73.0 - 67.0 - 60.0 - 57.0 - 47.0 - 47.0 - 39.0 - 31.0 - 20.0 - 20.0 - 14.0 - 7.0
144,2,1.27,0.88,2.88,11.54,40.6,26.4,298,78,570,0:00,5424 m,46,12.0 - 26.0 - 26.0 - 37.0 - 44.0 - 44.0 - 44.0 - 44.0 - 50.0 - 53.0 - 53.0 - 58.0 - 61.0 - 61.0 - 65.0 - 70.0 - 70.0 - 78.0 - 77.0 - 77.0 - 78.0 - 86.0 - 86.0 - 83.0 - 89.0 - 89.0 - 81.0 - 85.0 - 85.0 - 84.0 - 83.0 - 80.0 - 80.0 - 85.0 - 84.0 - 81.0 - 81.0 - 76.0 - 74.0 - 68.0 - 68.0 - 63.0 - 57.0 - 52.0 - 52.0 - 47.0 - 42.0 - 34.0 - 27.0 - 27.0 - 18.0 - 11.0 - 5.0 - 5.0
145,2,1.27,0.87,2.71,11.88,42.3,29.5,304,77,567,0:00,5410 m,60,12.0 - 29.0 - 39.0 - 39.0 - 52.0 - 52.0 - 58.0 - 66.0 - 66.0 - 71.0 - 74.0 - 74.0 - 79.0 - 79.0 - 82.0 - 81.0 - 81.0 - 86.0 - 84.0 - 84.0 - 84.0 - 86.0 - 87.0 - 87.0 - 85.0 - 84.0 - 84.0 - 85.0 - 84.0 - 92.0 - 92.0 - 93.0 - 89.0 - 84.0 - 84.0 - 84.0 - 82.0 - 78.0 - 78.0 - 74.0 - 69.0 - 64.0 - 61.0 - 61.0 - 53.0 - 49.0 - 39.0 - 39.0 - 32.0 - 23.0 - 17.0 - 10.0 - 10.0
146,2,1.21,0.81,2.89,11.47,44.9,28.9,308,83,586,0:00,5498 m,56,19.0 - 29.0 - 29.0 - 36.0 - 37.0 - 37.0 - 41.0 - 41.0 - 48.0 - 55.0 - 55.0 - 62.0 - 70.0 - 70.0 - 74.0 - 81.0 - 81.0 - 88.0 - 90.0 - 90.0 - 96.0 - 97.0 - 97.0 - 93.0 - 95.0 - 97.0 - 97.0 - 98.0 - 97.0 - 96.0 - 96.0 - 90.0 - 90.0 - 85.0 - 85.0 - 80.0 - 77.0 - 75.0 - 68.0 - 68.0 - 64.0 - 57.0 - 48.0 - 48.0 - 39.0 - 28.0 - 20.0 - 15.0 - 15.0 - 9.0
147,2,1.24,0.85,3.11,12.01,40.3,27.8,317,81,578,0:00,5463 m,50,22.0 - 33.0 - 33.0 - 37.0 - 43.0 - 43.0 - 46.0 - 51.0 - 51.0 - 57.0 - 57.0 - 58.0 - 67.0 - 67.0 - 66.0 - 73.0 - 73.0 - 76.0 - 76.0 - 76.0 - 81.0 - 79.0 - 79.0 - 83.0 - 83.0 - 88.0 - 88.0 - 81.0 - 88.0 - 88.0 - 86.0 - 88.0 - 84.0 - 84.0 - 87.0 - 84.0 - 82.0 - 82.0 - 78.0 - 71.0 - 68.0 - 61.0 - 61.0 - 55.0 - 48.0 - 45.0 - 34.0 - 34.0 - 25.0 - 15.0 - 9.0 - 9.0
148,2,1.24,0.86,2.9,12.5,40.3,27.4,318,76,563,0:00,5394 m,45,20.0 - 35.0 - 35.0 - 44.0 - 49.0 - 49.0 - 52.0 - 52.0 - 59.0 - 61.0 - 61.0 - 69.0 - 67.0 - 67.0 - 77.0 - 77.0 - 74.0 - 85.0 - 85.0 - 84.0 - 84.0 - 84.0 - 81.0 - 88.0 - 85.0 - 85.0 - 87.0 - 82.0 - 82.0 - 82.0 - 84.0 - 80.0 - 80.0 - 79.0 - 79.0 - 77.0 - 77.0 - 71.0 - 67.0 - 63.0 - 63.0 - 58.0 - 53.0 - 49.0 - 49.0 - 38.0 - 35.0 - 26.0 - 26.0 - 20.0 - 8.0 - 6.0 - 0.0
149,2,1.24,0.85,2.88,11.82,43.8,29.7,298,75,560,0:00,5379 m,60,14.0 - 32.0 - 43.0 - 43.0 - 49.0 - 49.0 - 51.0 - 57.0 - 57.0 - 62.0 - 62.0 - 68.0 - 69.0 - 69.0 - 75.0 - 77.0 - 77.0 - 82.0 - 85.0 - 85.0 - 87.0 - 91.0 - 91.0 - 87.0 - 91.0 - 91.0 - 92.0 - 89.0 - 93.0 - 93.0 - 96.0 - 88.0 - 92.0 - 92.0 - 88.0 - 88.0 - 85.0 - 85.0 - 82.0 - 78.0 - 73.0 - 73.0 - 69.0 - 58.0 - 49.0 - 41.0 - 41.0 - 33.0 - 25.0 - 15.0 - 9.0 - 9.0
150,2,1.24,0.84,2.96,11.96,42.3,28.8,314,80,576,0:00,5453 m,52,14.0 - 32.0 - 32.0 - 41.0 - 47.0 - 47.0 - 53.0 - 53.0 - 53.0 - 65.0 - 65.0 - 65.0 - 77.0 - 77.0 - 71.0 - 81.0 - 81.0 - 81.0 - 85.0 - 85.0 - 87.0 - 90.0 - 90.0 - 87.0 - 90.0 - 90.0 - 93.0 - 93.0 - 90.0 - 90.0 - 85.0 - 86.0 - 87.0 - 87.0 - 91.0 - 87.0 - 85.0 - 85.0 - 82.0 - 71.0 - 70.0 - 61.0 - 61.0 - 54.0 - 41.0 - 33.0 - 24.0 - 24.0 - 19.0 - 13.0 - 8.0 - 8.0
151,2,1.24,0.85,3.05,12.16,42.6,28.6,316,79,572,0:00,5435 m,52,10.0 - 27.0 - 27.0 - 37.0 - 44.0 - 44.0 - 48.0 - 48.0 - 51.0 - 59.0 - 59.0 - 62.0 - 69.0 - 69.0 - 68.0 - 81.0 - 81.0 - 80.0 - 87.0 - 87.0 - 84.0 - 89.0 - 89.0 - 88.0 - 91.0 - 91.0 - 93.0 - 90.0 - 89.0 - 89.0 - 93.0 - 91.0 - 91.0 - 93.0 - 91.0 - 87.0 - 87.0 - 87.0 - 82.0 - 74.0 - 69.0 - 69.0 - 62.0 - 53.0 - 43.0 - 35.0 - 35.0 - 29.0 - 21.0 - 14.0 - 14.0 - 5.0
152,2,1.24,0.86,3.05,12.37,37.5,27.6,316,77,565,0:00,5403 m,48,14.0 - 27.0 - 27.0 - 37.0 - 37.0 - 43.0 - 48.0 - 48.0 - 53.0 - 61.0 - 61.0 - 61.0 - 61.0 - 72.0 - 73.0 - 73.0 - 81.0 - 74.0 - 74.0 - 78.0 - 76.0 - 76.0 - 81.0 - 80.0 - 80.0 - 82.0 - 79.0 - 79.0 - 78.0 - 82.0 - 82.0 - 82.0 - 74.0 - 75.0 - 75.0 - 76.0 - 77.0 - 79.0 - 79.0 - 79.0 - 77.0 - 74.0 - 71.0 - 71.0 - 63.0 - 51.0 - 48.0 - 48.0 - 36.0 - 29.0 - 14.0 - 7.0 - 7.0 - 0.0
