Stroke Number,Time (secs),Distance (meters),Stroke Rate (s/m),500m Split (secs),Power (Watts),Heart Rate (bpm),Peak Force (Newtons),Average Drive Force (Newtons),Drive Length (meters),Drive Time (secs),% of Stroke Complete When Peak Force Is Reached,Impulse (Average force x Time) (Nâ€¢s),Work Per Stroke (Joules),Force Curve Data Points (Newtons)
1,3,12,0,146,138,0,676.78,444.82,1.21,0.7000000000000001,9.30, 311.37,151,31.37 31.37 183.76 430.27 430.27 528.88 564.73 564.73 591.62 591.62 596.11 605.07 614.03 614.03 631.96 640.93 645.41 645.41 667.82 654.37 676.78 672.3 667.82 667.82 578.18 519.91 506.47 479.57 430.27 372.01 349.6 349.6 291.33 228.58 219.62 165.83 116.53 71.71 44.82 
2,6,22,23,137,132,0,631.96,427.03,1.18,0.64,51.28, 273.30,141,103.09 250.99 250.99 398.9 493.02 528.88 528.88 537.84 560.25 560.25 573.7 587.14 605.07 609.55 618.52 618.52 631.96 631.96 605.07 600.59 605.07 582.66 542.32 542.32 479.57 421.31 394.42 354.08 313.74 268.92 242.03 192.73 112.05 98.6 58.27 22.41 
3,9,33,21,135,144,0,614.03,431.48,1.18,0.63,44.44, 271.83,137,161.35 309.26 309.26 439.24 497.5 524.39 524.39 519.91 555.77 564.73 582.66 582.66 578.18 578.18 582.66 596.11 614.03 614.03 609.55 591.62 587.14 587.14 533.36 497.5 439.24 389.93 376.49 331.67 309.26 264.44 228.58 228.58 129.98 85.16 58.27 
4,11,44,21,135,149,0,631.96,422.58,1.21,0.64,45.71, 270.45,141,98.6 98.6 242.03 407.86 493.02 493.02 533.36 528.88 542.32 573.7 573.7 578.18 582.66 587.14 582.66 600.59 627.48 631.96 614.03 596.11 596.11 587.14 555.77 506.47 448.2 412.34 380.97 345.11 318.22 259.96 259.96 246.51 170.32 125.5 89.64 49.3 
5,14,55,21,133,153,0,649.89,431.48,1.21,0.63,47.22, 271.83,145,112.05 112.05 237.55 403.38 488.54 488.54 533.36 546.8 564.73 564.73 569.21 587.14 587.14 614.03 623.0 631.96 640.93 649.89 645.41 627.48 614.03 605.07 569.21 528.88 457.16 434.75 394.42 345.11 327.19 268.92 237.55 201.69 129.98 76.19 17.93 
6,17,66,21,132,158,0,672.30,475.96,1.18,0.6,48.57, 285.57,150,197.21 372.01 372.01 506.47 573.7 605.07 587.14 587.14 631.96 649.89 649.89 658.85 658.85 658.85 649.89 667.82 663.34 658.85 636.44 627.48 618.52 573.7 528.88 506.47 434.75 385.45 340.63 322.7 264.44 250.99 174.8 143.42 76.19 
7,20,77,21,130,162,0,676.78,475.96,1.21,0.62,45.45, 295.09,151,138.94 295.81 295.81 430.27 515.43 551.29 551.29 587.14 631.96 627.48 645.41 654.37 654.37 658.85 658.85 672.3 658.85 667.82 649.89 654.37 640.93 614.03 569.21 560.25 461.65 425.79 398.9 389.93 318.22 304.78 264.44 219.62 121.01 85.16 
8,23,89,20,129,169,0,649.89,462.61,1.18,0.6,44.12, 277.57,145,170.32 318.22 318.22 443.72 510.95 533.36 546.8 573.7 591.62 600.59 609.55 609.55 623.0 627.48 640.93 640.93 649.89 636.44 649.89 631.96 627.48 587.14 546.8 497.5 457.16 389.93 385.45 331.67 309.26 268.92 219.62 170.32 67.23 
9,26,100,21,128,169,0,654.37,449.27,1.21,0.62,48.48, 278.55,146,143.42 143.42 304.78 430.27 519.91 542.32 564.73 564.73 591.62 591.62 591.62 600.59 609.55 609.55 627.48 636.44 631.96 654.37 640.93 623.0 609.55 591.62 560.25 515.43 448.2 394.42 385.45 313.74 309.26 268.92 246.51 201.69 112.05 44.82 
10,29,111,21,128,169,0,658.85,458.16,1.21,0.62,50.00, 284.06,147,98.6 98.6 242.03 398.9 506.47 551.29 551.29 582.66 596.11 618.52 596.11 596.11 631.96 636.44 658.85 631.96 640.93 640.93 645.41 631.96 609.55 605.07 573.7 524.39 448.2 430.27 430.27 340.63 327.19 327.19 255.47 197.21 112.05 76.19 
11,31,122,21,128,170,0,676.78,453.72,1.21,0.61,41.18, 276.77,151,121.01 121.01 282.37 425.79 528.88 560.25 560.25 587.14 609.55 636.44 631.96 649.89 640.93 640.93 636.44 654.37 672.3 645.41 636.44 605.07 591.62 569.21 537.84 484.06 425.79 416.83 363.04 336.15 277.88 255.47 201.69 170.32 85.16 67.23 
12,34,133,21,127,169,0,672.30,458.16,1.21,0.61,47.06, 279.48,150,85.16 85.16 219.62 367.52 488.54 542.32 582.66 582.66 605.07 605.07 623.0 654.37 658.85 658.85 649.89 658.85 672.3 663.34 640.93 623.0 623.0 605.07 564.73 528.88 434.75 425.79 372.01 367.52 322.7 282.37 255.47 197.21 103.09 85.16 
13,37,144,22,127,173,0,667.82,458.16,1.21,0.61,47.06, 279.48,149,147.91 147.91 295.81 448.2 528.88 573.7 573.7 591.62 623.0 631.96 645.41 649.89 649.89 654.37 663.34 658.85 667.82 663.34 623.0 627.48 600.59 582.66 555.77 493.02 421.31 376.49 380.97 304.78 300.29 259.96 233.06 183.76 94.12 35.86 
14,40,155,22,126,172,0,685.75,467.06,1.27,0.63,47.06, 294.25,153,94.12 94.12 228.58 394.42 497.5 551.29 551.29 582.66 600.59 627.48 631.96 631.96 649.89 649.89 654.37 658.85 676.78 672.3 685.75 672.3 654.37 640.93 605.07 578.18 493.02 461.65 407.86 403.38 327.19 331.67 255.47 255.47 138.94 76.19 49.3 
15,43,166,22,126,175,0,667.82,462.61,1.18,0.59,51.43, 272.94,149,174.8 174.8 340.63 461.65 537.84 560.25 573.7 573.7 605.07 614.03 623.0 618.52 623.0 627.48 667.82 667.82 645.41 640.93 627.48 618.52 605.07 551.29 533.36 493.02 434.75 376.49 372.01 295.81 300.29 233.06 224.1 174.8 94.12 
16,45,177,22,126,174,0,654.37,453.72,1.21,0.61,42.42, 276.77,146,143.42 143.42 286.85 430.27 519.91 555.77 569.21 569.21 569.21 573.7 587.14 609.55 614.03 609.55 609.55 623.0 654.37 654.37 623.0 627.48 623.0 609.55 537.84 519.91 461.65 439.24 385.45 363.04 313.74 273.4 242.03 188.24 94.12 85.16 
17,48,188,22,126,169,0,515.43,355.86,1.18,0.62,47.06, 220.63,115,85.16 85.16 210.65 345.11 434.75 475.09 475.09 484.06 484.06 493.02 501.98 501.98 497.5 510.95 497.5 515.43 497.5 484.06 484.06 484.06 484.06 466.13 443.72 403.38 372.01 349.6 309.26 268.92 237.55 201.69 174.8 143.42 71.71 35.86 35.86 
18,51,198,22,128,148,0,631.96,422.58,1.27,0.67,42.86, 283.13,141,80.68 215.14 215.14 358.56 457.16 484.06 484.06 510.95 537.84 551.29 551.29 555.77 569.21 578.18 591.62 596.11 609.55 596.11 614.03 623.0 631.96 614.03 609.55 578.18 510.95 461.65 439.24 394.42 372.01 336.15 336.15 318.22 237.55 192.73 134.46 121.01 67.23 49.3 
19,54,209,21,133,161,0,618.52,435.92,1.21,0.62,52.63, 270.27,138,152.39 300.29 300.29 425.79 493.02 524.39 542.32 542.32 587.14 591.62 573.7 573.7 591.62 591.62 600.59 605.07 600.59 618.52 614.03 614.03 587.14 578.18 510.95 506.47 448.2 376.49 358.56 322.7 282.37 268.92 219.62 179.28 85.16 76.19 
20,56,219,22,129,166,0,649.89,458.16,1.18,0.6,50.00, 274.90,145,125.5 125.5 282.37 434.75 528.88 564.73 564.73 587.14 614.03 618.52 640.93 640.93 627.48 645.41 627.48 645.41 636.44 640.93 618.52 587.14 573.7 555.77 537.84 488.54 416.83 354.08 345.11 313.74 282.37 268.92 201.69 192.73 103.09 
21,59,230,22,128,171,0,627.48,431.48,1.24,0.63,39.39, 271.83,140,94.12 94.12 215.14 380.97 493.02 564.73 564.73 569.21 596.11 605.07 605.07 600.59 591.62 591.62 609.55 627.48 618.52 614.03 609.55 591.62 587.14 560.25 546.8 510.95 430.27 389.93 376.49 313.74 309.26 259.96 246.51 188.24 125.5 94.12 49.3 
22,62,241,22,127,171,0,645.41,444.82,1.21,0.61,42.86, 271.34,144,121.01 268.92 268.92 425.79 533.36 564.73 578.18 578.18 596.11 618.52 614.03 618.52 623.0 636.44 636.44 627.48 645.41 631.96 614.03 596.11 564.73 564.73 546.8 510.95 412.34 394.42 322.7 318.22 250.99 255.47 219.62 206.17 103.09 85.16 
23,65,251,22,127,171,0,623.00,444.82,1.18,0.6,47.06, 266.89,139,174.8 331.67 331.67 457.16 533.36 569.21 564.73 578.18 600.59 605.07 609.55 591.62 600.59 623.0 609.55 600.59 600.59 614.03 578.18 569.21 569.21 551.29 524.39 484.06 407.86 380.97 354.08 300.29 291.33 219.62 210.65 143.42 76.19 
24,67,262,22,127,170,0,654.37,453.72,1.21,0.61,39.39, 276.77,146,125.5 259.96 259.96 412.34 510.95 551.29 569.21 569.21 600.59 618.52 609.55 614.03 623.0 640.93 640.93 627.48 654.37 649.89 636.44 623.0 591.62 582.66 555.77 515.43 412.34 416.83 372.01 358.56 313.74 264.44 246.51 179.28 103.09 76.19 
25,70,273,22,127,172,0,654.37,444.82,1.21,0.61,47.06, 271.34,146,134.46 295.81 295.81 416.83 510.95 533.36 551.29 569.21 600.59 596.11 596.11 596.11 605.07 600.59 640.93 627.48 654.37 631.96 609.55 605.07 596.11 582.66 551.29 506.47 425.79 398.9 372.01 327.19 327.19 246.51 246.51 170.32 94.12 58.27 
26,73,284,22,127,173,0,658.85,444.82,1.24,0.63,47.06, 280.24,147,116.53 250.99 250.99 389.93 501.98 533.36 564.73 564.73 600.59 623.0 627.48 627.48 627.48 645.41 645.41 654.37 658.85 654.37 636.44 618.52 596.11 582.66 573.7 519.91 457.16 389.93 385.45 336.15 313.74 282.37 215.14 206.17 138.94 58.27 67.23 
27,75,294,22,126,174,0,672.30,444.82,1.24,0.63,45.71, 280.24,150,89.64 210.65 210.65 358.56 470.61 528.88 546.8 569.21 591.62 623.0 640.93 636.44 640.93 654.37 672.3 663.34 663.34 658.85 640.93 618.52 605.07 605.07 600.59 546.8 466.13 398.9 385.45 340.63 318.22 291.33 233.06 215.14 147.91 67.23 67.23 
28,78,306,22,126,173,0,676.78,458.16,1.24,0.63,40.00, 288.64,151,94.12 94.12 210.65 367.52 484.06 551.29 551.29 582.66 636.44 654.37 649.89 649.89 658.85 658.85 676.78 672.3 672.3 672.3 663.34 618.52 614.03 605.07 596.11 546.8 452.68 425.79 389.93 340.63 327.19 277.88 250.99 201.69 138.94 94.12 76.19 
29,81,317,21,127,174,0,658.85,453.72,1.21,0.61,40.00, 276.77,147,179.28 179.28 313.74 443.72 510.95 551.29 551.29 573.7 623.0 627.48 618.52 609.55 649.89 649.89 640.93 645.41 658.85 631.96 645.41 605.07 605.07 578.18 528.88 501.98 416.83 389.93 354.08 322.7 291.33 250.99 224.1 170.32 67.23 67.23 
30,84,327,22,126,173,0,649.89,453.72,1.21,0.61,47.06, 276.77,145,121.01 246.51 246.51 389.93 479.57 542.32 573.7 600.59 605.07 627.48 623.0 631.96 631.96 627.48 640.93 649.89 649.89 640.93 649.89 614.03 609.55 605.07 578.18 542.32 457.16 398.9 394.42 345.11 300.29 282.37 215.14 233.06 121.01 40.34 
31,87,339,22,125,180,0,779.87,515.99,1.36,0.65,44.12, 335.39,174,107.57 233.06 233.06 394.42 528.88 587.14 636.44 658.85 685.75 717.12 721.6 735.05 726.08 752.98 757.46 748.49 761.94 779.87 766.42 735.05 730.57 685.75 685.75 627.48 551.29 497.5 484.06 421.31 425.79 372.01 354.08 304.78 237.55 183.76 156.87 85.16 85.16 
32,89,348,22,125,220,0,766.42,511.54,1.30,0.59,45.95, 301.81,171,188.24 340.63 461.65 461.65 564.73 605.07 636.44 663.34 721.6 752.98 735.05 744.01 748.49 752.98 735.05 766.42 739.53 712.64 703.67 681.26 667.82 596.11 569.21 501.98 434.75 358.56 331.67 300.29 255.47 242.03 143.42 152.39 76.19 
33,91,358,26,117,240,0,757.46,511.54,1.30,0.5700000000000001,45.45, 291.58,169,192.73 345.11 452.68 452.68 555.77 618.52 640.93 645.41 699.19 730.57 730.57 744.01 739.53 748.49 757.46 726.08 690.23 685.75 649.89 623.0 614.03 551.29 515.43 475.09 430.27 385.45 345.11 322.7 255.47 192.73 170.32 112.05 
34,93,368,27,113,253,0,788.83,507.09,1.33,0.58,43.75, 294.11,176,116.53 233.06 376.49 484.06 484.06 569.21 605.07 618.52 676.78 721.6 735.05 757.46 788.83 752.98 770.9 757.46 748.49 708.16 703.67 672.3 667.82 600.59 564.73 515.43 466.13 354.08 331.67 286.85 273.4 224.1 188.24 174.8 
35,95,378,28,111,260,0,788.83,511.54,1.30,0.5700000000000001,37.50, 291.58,176,129.98 129.98 259.96 380.97 479.57 528.88 555.77 582.66 654.37 685.75 690.23 726.08 739.53 757.46 779.87 784.35 748.49 770.9 721.6 694.71 640.93 609.55 546.8 519.91 448.2 416.83 336.15 300.29 264.44 215.14 179.28 89.64 
36,98,388,27,111,258,0,730.57,475.96,1.24,0.54,46.88, 257.02,163,143.42 282.37 407.86 501.98 533.36 591.62 591.62 596.11 658.85 694.71 690.23 694.71 730.57 685.75 676.78 672.3 645.41 596.11 573.7 533.36 528.88 484.06 457.16 407.86 367.52 313.74 246.51 246.51 192.73 134.46 121.01 
37,100,399,27,111,202,0,331.67,240.20,1.09,0.5700000000000001,38.71, 136.92,74,138.94 206.17 206.17 255.47 286.85 295.81 291.33 282.37 286.85 295.81 300.29 309.26 304.78 313.74 313.74 313.74 331.67 322.7 313.74 300.29 309.26 268.92 259.96 259.96 237.55 206.17 183.76 165.83 129.98 112.05 85.16 62.75 
38,103,410,21,120,126,0,322.70,244.65,1.15,0.6900000000000001,50.00, 168.81,72,89.64 89.64 161.35 242.03 295.81 295.81 313.74 318.22 318.22 313.74 309.26 322.7 322.7 309.26 318.22 309.26 318.22 313.74 322.7 318.22 318.22 309.26 309.26 304.78 309.26 300.29 286.85 264.44 264.44 246.51 246.51 237.55 183.76 165.83 129.98 129.98 94.12 67.23 35.86 
39,106,420,20,141,102,0,389.93,266.89,1.12,0.7000000000000001,28.21, 186.82,87,58.27 58.27 138.94 242.03 242.03 313.74 354.08 349.6 363.04 363.04 363.04 372.01 372.01 380.97 380.97 380.97 372.01 372.01 380.97 367.52 363.04 363.04 340.63 336.15 318.22 318.22 291.33 264.44 246.51 219.62 219.62 210.65 170.32 152.39 138.94 138.94 112.05 76.19 40.34 
40,110,430,19,154,96,0,510.95,346.96,1.18,0.72,33.33, 249.81,114,103.09 103.09 233.06 354.08 354.08 425.79 448.2 448.2 466.13 466.13 466.13 484.06 484.06 484.06 484.06 493.02 497.5 493.02 497.5 510.95 501.98 501.98 510.95 497.5 457.16 416.83 416.83 376.49 345.11 327.19 300.29 264.44 237.55 192.73 174.8 156.87 125.5 98.6 98.6 62.75 
41,113,440,20,147,110,0,461.65,324.72,1.15,0.6900000000000001,47.50, 224.06,103,94.12 94.12 201.69 331.67 331.67 394.42 416.83 416.83 439.24 439.24 439.24 448.2 448.2 443.72 443.72 452.68 457.16 452.68 452.68 461.65 448.2 439.24 430.27 416.83 403.38 385.45 358.56 322.7 295.81 295.81 264.44 237.55 188.24 165.83 147.91 147.91 98.6 49.3 17.93 22.41 
42,116,450,20,147,110,0,452.68,311.37,1.15,0.6900000000000001,47.50, 214.85,101,152.39 152.39 273.4 367.52 398.9 398.9 416.83 412.34 416.83 416.83 434.75 434.75 443.72 448.2 443.72 452.68 452.68 448.2 439.24 430.27 430.27 416.83 412.34 380.97 372.01 331.67 313.74 295.81 277.88 246.51 206.17 206.17 147.91 134.46 125.5 98.6 67.23 67.23 4.48 
43,119,461,20,148,109,0,475.09,329.17,1.15,0.6900000000000001,38.46, 227.13,106,152.39 268.92 268.92 358.56 412.34 412.34 425.79 434.75 439.24 443.72 457.16 470.61 470.61 475.09 475.09 475.09 470.61 461.65 452.68 439.24 439.24 439.24 430.27 425.79 367.52 367.52 331.67 309.26 286.85 259.96 228.58 197.21 161.35 152.39 116.53 98.6 49.3 13.45 13.45 
44,122,471,20,147,110,0,479.57,315.82,1.18,0.71,33.33, 224.23,107,58.27 58.27 143.42 264.44 264.44 354.08 416.83 421.31 425.79 443.72 457.16 457.16 457.16 479.57 479.57 479.57 461.65 452.68 452.68 452.68 448.2 439.24 425.79 425.79 403.38 385.45 349.6 322.7 295.81 295.81 282.37 250.99 197.21 170.32 147.91 107.57 107.57 98.6 67.23 35.86 
45,125,481,20,147,111,0,497.50,342.51,1.15,0.68,32.50, 232.91,111,129.98 255.47 255.47 376.49 425.79 425.79 439.24 443.72 448.2 466.13 475.09 488.54 488.54 488.54 497.5 484.06 488.54 479.57 461.65 461.65 452.68 452.68 452.68 425.79 372.01 354.08 354.08 318.22 295.81 277.88 250.99 219.62 165.83 165.83 147.91 112.05 67.23 35.86 13.45 
