Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
1,1161.2,0,05:37.3,02:46.6,3,00:00.0,0,21,123,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4542857,-2.5383703
1,1170.8,0,05:40.3,02:48.9,2.96,00:00.0,0,20.5,124,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4542078,-2.5383128
1,1179.4,0,05:43.1,02:47.2,2.99,00:00.0,0,20,125,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4541348,-2.5382703
1,1187.9,0,05:45.9,02:46.1,3.01,00:00.0,0,22,126,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4540613,-2.5382366
1,1196.8,0,05:48.9,02:46.1,3.01,00:00.0,0,20.5,127,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4539843,-2.5382037
1,1205.4,0,05:51.7,02:48.9,2.96,00:00.0,0,21,128,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4539093,-2.5381731
1,1214,0,05:54.7,02:51.8,2.91,00:00.0,0,20,129,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4538351,-2.5381402
1,1222.3,0,05:57.6,02:54.2,2.87,00:00.0,0,20.5,130,8.4,0,---,---,---,---,---,---,---,---,---,---,51.4537645,-2.5380993
1,1231,0,06:00.5,02:53.6,2.88,00:00.0,0,21,131,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4536925,-2.5380532
1,1239,0,06:03.3,02:51.2,2.92,00:00.0,0,20,132,8.1,0,---,---,---,---,---,---,---,---,---,---,51.4536283,-2.5379992
1,1246.5,0,06:06.1,02:53.6,2.88,00:00.0,0,22.5,133,7.5,0,---,---,---,---,---,---,---,---,---,---,51.4535696,-2.5379457
1,1254.8,0,06:08.7,02:57.3,2.82,00:00.0,0,22.5,134,8.3,0,---,---,---,---,---,---,---,---,---,---,51.4534997,-2.5379045
1,1263.8,0,06:11.5,02:48.3,2.97,00:00.0,0,21,135,8.9,0,---,---,---,---,---,---,---,---,---,---,51.453424,-2.5378621
1,1271.5,0,06:14.0,02:35.7,3.21,00:00.0,0,24.5,136,7.8,0,---,---,---,---,---,---,---,---,---,---,51.4533598,-2.5378174
1,1281,0,06:16.6,02:26.6,3.41,00:00.0,0,23,137,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4532834,-2.5377581
1,1289.7,0,06:19.1,02:25.3,3.44,00:00.0,0,24,138,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4532143,-2.5377001
1,1296.2,0,06:21.3,02:32.4,3.28,00:00.0,0,25.5,139,6.5,0,---,---,---,---,---,---,---,---,---,---,51.453168,-2.5376423
1,1304.1,0,06:23.8,02:34.3,3.24,00:00.0,0,26.5,140,7.9,0,---,---,---,---,---,---,---,---,---,---,51.4531076,-2.5375813
1,1313.3,0,06:26.0,02:25.7,3.43,00:00.0,0,26.5,141,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4530352,-2.5375159
1,1324.3,0,06:28.3,02:12.6,3.77,00:00.0,0,26.5,142,11,0,---,---,---,---,---,---,---,---,---,---,51.4529517,-2.5374323
1,1333.5,0,06:30.5,02:06.9,3.94,00:00.0,0,24.5,143,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4528809,-2.5373648
1,1343.1,0,06:32.9,02:08.8,3.88,00:00.0,0,26.5,144,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4528049,-2.5372992
1,1351.2,0,06:35.1,02:10.5,3.83,00:00.0,0,26.5,145,8.1,0,---,---,---,---,---,---,---,---,---,---,51.4527397,-2.5372482
1,1360.9,0,06:37.5,02:09.1,3.87,00:00.0,0,25.5,146,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4526595,-2.5371915
1,1370.2,0,06:39.9,02:09.8,3.85,00:00.0,0,25.5,147,9.3,0,---,---,---,---,---,---,---,---,---,---,51.4525819,-2.5371405
1,1378.8,0,06:42.1,02:11.2,3.81,00:00.0,0,25.5,148,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4525098,-2.5370967
1,1388.3,0,06:44.5,02:08.8,3.88,00:00.0,0,25.5,149,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4524299,-2.5370508
1,1397.1,0,06:47.0,02:08.5,3.89,00:00.0,0,25.5,150,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4523557,-2.5370068
1,1406.7,0,06:49.2,02:08.5,3.89,00:00.0,0,25.5,151,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4522746,-2.5369598
1,1416.3,0,06:51.5,02:08.5,3.89,00:00.0,0,24.5,152,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4521924,-2.5369172
1,1425.8,0,06:53.9,02:07.5,3.92,00:00.0,0,26.5,153,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4521114,-2.5368745
1,1434.5,0,06:56.3,02:07.2,3.93,00:00.0,0,25.5,154,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4520373,-2.5368326
1,1443.5,0,06:58.5,02:09.5,3.86,00:00.0,0,25,155,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4519632,-2.5367832
1,1452.3,0,07:00.9,02:13.3,3.75,00:00.0,0,26.5,156,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4518895,-2.5367348
1,1460.9,0,07:03.1,02:15.5,3.69,00:00.0,0,26.5,157,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4518182,-2.5366888
1,1469.9,0,07:05.5,02:11.5,3.8,00:00.0,0,25.5,158,9,0,---,---,---,---,---,---,---,---,---,---,51.4517427,-2.5366411
1,1478.3,0,07:08.0,02:10.2,3.84,00:00.0,0,25.5,159,8.4,0,---,---,---,---,---,---,---,---,---,---,51.4516723,-2.5365967
1,1487.6,0,07:10.1,02:11.2,3.81,00:00.0,0,27.5,160,9.3,0,---,---,---,---,---,---,---,---,---,---,51.4515943,-2.5365506
1,1496.5,0,07:12.3,02:09.8,3.85,00:00.0,0,25.5,161,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4515199,-2.5365033
1,1505.9,0,07:14.7,02:07.2,3.93,00:00.0,0,27.5,162,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4514424,-2.5364496
1,1514.3,0,07:17.0,02:05.3,3.99,00:00.0,0,27.5,163,8.4,0,---,---,---,---,---,---,---,---,---,---,51.4513725,-2.5364041
1,1523.1,0,07:18.9,02:01.6,4.11,00:00.0,0,27.5,164,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4512992,-2.5363551
1,1532.5,0,07:21.1,02:01.3,4.12,00:00.0,0,27.5,165,9.3,0,---,---,---,---,---,---,---,---,---,---,51.4512213,-2.5363057
1,1541.4,0,07:23.4,02:02.5,4.08,00:00.0,0,27.5,166,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4511466,-2.5362595
1,1550.2,0,07:25.5,02:01.9,4.1,00:00.0,0,27.5,167,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4510723,-2.536213
1,1559.2,0,07:27.7,02:05.0,4,00:00.0,0,26.5,168,9,0,---,---,---,---,---,---,---,---,---,---,51.4509976,-2.5361652
1,1567.7,0,07:29.9,02:08.8,3.88,00:00.0,0,28.5,169,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4509279,-2.5361151
1,1575,0,07:32.0,02:11.2,3.81,00:00.0,0,27.5,170,7.2,0,---,---,---,---,---,---,---,---,---,---,51.4508702,-2.5360667
1,1585.1,0,07:34.5,02:11.5,3.8,00:00.0,0,25.5,171,10.2,0,---,---,---,---,---,---,---,---,---,---,51.4507897,-2.5359968
1,1594,0,07:37.3,02:18.8,3.6,00:00.0,0,22.5,172,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4507226,-2.5359284
1,1603.2,0,07:40.1,02:33.3,3.26,00:00.0,0,21,173,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4506525,-2.5358568
1,1612,0,07:42.9,02:40.2,3.12,00:00.0,0,20.5,174,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4505858,-2.5357894
1,1620.9,0,07:45.7,02:40.2,3.12,00:00.0,0,22,175,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4505182,-2.5357222
1,1629.5,0,07:48.5,02:41.2,3.1,00:00.0,0,20.5,176,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4504525,-2.5356575
1,1638.7,0,07:51.5,02:41.8,3.09,00:00.0,0,19.5,177,9.3,0,---,---,---,---,---,---,---,---,---,---,51.450381,-2.5355889
1,1646.9,0,07:54.4,02:46.1,3.01,00:00.0,0,22.5,178,8.2,0,---,---,---,---,---,---,---,---,---,---,51.4503205,-2.5355211
1,1654.6,0,07:57.1,02:52.4,2.9,00:00.0,0,21,179,7.7,0,---,---,---,---,---,---,---,---,---,---,51.4502689,-2.5354472
1,1662,0,08:00.1,02:57.9,2.81,00:00.0,0,20,180,7.3,0,---,---,---,---,---,---,---,---,---,---,51.4502236,-2.5353702
1,1671.3,0,08:03.3,03:07.9,2.66,00:00.0,0,19,181,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4501588,-2.5352841
1,1680.8,0,08:06.7,03:07.9,2.66,00:00.0,0,17.5,182,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4500929,-2.5351972
1,1690.2,0,08:09.9,02:59.8,2.78,00:00.0,0,18,183,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4500286,-2.5351093
1,1700.3,0,08:13.5,02:51.8,2.91,00:00.0,0,17.5,184,10,0,---,---,---,---,---,---,---,---,---,---,51.4499627,-2.5350104
1,1709.7,0,08:17.0,02:51.8,2.91,00:00.0,0,17.5,185,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4498993,-2.5349206
1,1718.8,0,08:20.0,02:53.0,2.89,00:00.0,0,18.5,186,9.1,0,---,---,---,---,---,---,---,---,---,---,51.4498379,-2.5348344
1,1727.5,0,08:23.1,02:53.6,2.88,00:00.0,0,19,187,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4497768,-2.5347558
1,1737.6,0,08:26.5,02:55.4,2.85,00:00.0,0,18,188,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4497,-2.5346781
1,1747,0,08:29.8,02:53.0,2.89,00:00.0,0,18.5,189,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4496297,-2.5346025
1,1755.9,0,08:33.0,02:54.2,2.87,00:00.0,0,18,190,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4495639,-2.53453
1,1765.9,0,08:36.4,02:54.2,2.87,00:00.0,0,18,191,10,0,---,---,---,---,---,---,---,---,---,---,51.4494852,-2.534461
1,1775.9,0,08:39.7,02:50.0,2.94,00:00.0,0,18.5,192,10,0,---,---,---,---,---,---,---,---,---,---,51.4494045,-2.5343969
1,1785,0,08:43.0,02:50.6,2.93,00:00.0,0,17.5,193,9.1,0,---,---,---,---,---,---,---,---,---,---,51.4493327,-2.5343354
1,1794.7,0,08:46.4,02:58.5,2.8,00:00.0,0,18,194,9.7,0,---,---,---,---,---,---,---,---,---,---,51.449251,-2.5342871
1,1804.1,0,08:49.6,02:59.8,2.78,00:00.0,0,18.5,195,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4491691,-2.5342517
1,1813.7,0,08:53.1,02:56.6,2.83,00:00.0,0,18.5,196,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4490847,-2.5342271
1,1823.5,0,08:56.1,02:55.4,2.85,00:00.0,0,18,197,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4489969,-2.5342128
1,1834,0,08:59.6,02:54.8,2.86,00:00.0,0,17,198,10.5,0,---,---,---,---,---,---,---,---,---,---,51.4489031,-2.5342066
1,1844.4,0,09:03.0,02:54.8,2.86,00:00.0,0,18.5,199,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4488095,-2.5342074
1,1854,0,09:06.2,02:59.2,2.79,00:00.0,0,19,200,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4487232,-2.5342031
1,1862.9,0,09:09.2,03:02.4,2.74,00:00.0,0,19,201,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4486432,-2.5342129
1,1873.3,0,09:12.6,02:53.6,2.88,00:00.0,0,17.5,202,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4485506,-2.5342273
1,1882,0,09:15.8,02:56.0,2.84,00:00.0,0,18.5,203,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4484731,-2.5342423
1,1891.3,0,09:19.2,02:59.2,2.79,00:00.0,0,18,204,9.3,0,---,---,---,---,---,---,---,---,---,---,51.44839,-2.5342525
1,1900.6,0,09:22.4,03:00.5,2.77,00:00.0,0,18.5,205,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4483074,-2.534281
1,1910.6,0,09:25.6,03:01.1,2.76,00:00.0,0,19,206,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4482207,-2.5343151
1,1920.1,0,09:28.6,02:53.6,2.88,00:00.0,0,19.5,207,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4481411,-2.5343634
1,1930.4,0,09:32.0,02:51.8,2.91,00:00.0,0,19.5,208,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4480547,-2.5344188
1,1939.5,0,09:34.6,02:50.6,2.93,00:00.0,0,20,209,9.1,0,---,---,---,---,---,---,---,---,---,---,51.4479845,-2.534486
1,1950.3,0,09:38.0,02:46.1,3.01,00:00.0,0,19.5,210,10.8,0,---,---,---,---,---,---,---,---,---,---,51.4479121,-2.5345906
1,1959.3,0,09:41.0,02:44.4,3.04,00:00.0,0,20,211,9,0,---,---,---,---,---,---,---,---,---,---,51.4478469,-2.5346666
1,1970.2,0,09:44.0,02:41.2,3.1,00:00.0,0,18.5,212,10.9,0,---,---,---,---,---,---,---,---,---,---,51.4477704,-2.5347651
1,1980.8,0,09:47.0,02:37.2,3.18,00:00.0,0,19,213,10.6,0,---,---,---,---,---,---,---,---,---,---,51.4477004,-2.5348676
1,1991.8,0,09:50.0,02:36.7,3.19,00:00.0,0,20.5,214,11,0,---,---,---,---,---,---,---,---,---,---,51.4476346,-2.534985
1,2002.5,0,09:53.0,02:35.2,3.22,00:00.0,0,20,215,10.8,0,---,---,---,---,---,---,---,---,---,---,51.4475748,-2.5351071
1,2012.5,0,09:56.0,02:35.2,3.22,00:00.0,0,21,216,10,0,---,---,---,---,---,---,---,---,---,---,51.4475315,-2.5352341
1,2022.1,0,09:59.0,02:36.7,3.19,00:00.0,0,21,217,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4475027,-2.5353646
1,2031.4,0,10:01.5,02:38.2,3.16,00:00.0,0,20.5,218,9.3,0,---,---,---,---,---,---,---,---,---,---,51.4474787,-2.5354929
1,2041.6,0,10:04.6,02:37.7,3.17,00:00.0,0,20,219,10.2,0,---,---,---,---,---,---,---,---,---,---,51.4474556,-2.5356348
1,2050.8,0,10:07.6,02:40.2,3.12,00:00.0,0,20,220,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4474325,-2.5357627
1,2060.9,0,10:11.1,02:45.0,3.03,00:00.0,0,19,221,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4474108,-2.5359042
1,2070.8,0,10:14.0,02:43.9,3.05,00:00.0,0,18.5,222,9.8,0,---,---,---,---,---,---,---,---,---,---,51.447392,-2.5360425
1,2081.4,0,10:17.2,02:39.2,3.14,00:00.0,0,19,223,10.6,0,---,---,---,---,---,---,---,---,---,---,51.4473727,-2.5361922
1,2091.8,0,10:20.3,02:34.7,3.23,00:00.0,0,18.5,224,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4473558,-2.5363404
1,2102.9,0,10:23.6,02:32.9,3.27,00:00.0,0,18.5,225,11,0,---,---,---,---,---,---,---,---,---,---,51.4473477,-2.5364984
1,2114.2,0,10:27.0,02:31.5,3.3,00:00.0,0,18.5,226,11.4,0,---,---,---,---,---,---,---,---,---,---,51.4473257,-2.5366589
1,2125.4,0,10:30.4,02:32.4,3.28,00:00.0,0,17.5,227,11.2,0,---,---,---,---,---,---,---,---,---,---,51.447308,-2.536818
1,2135.9,0,10:33.6,02:35.2,3.22,00:00.0,0,17.5,228,10.5,0,---,---,---,---,---,---,---,---,---,---,51.447286,-2.5369651
1,2146.9,0,10:37.0,02:36.7,3.19,00:00.0,0,18,229,11,0,---,---,---,---,---,---,---,---,---,---,51.4472682,-2.5371212
1,2157.1,0,10:40.1,02:37.2,3.18,00:00.0,0,19,230,10.2,0,---,---,---,---,---,---,---,---,---,---,51.4472559,-2.5372664
1,2166.3,0,10:43.2,02:40.7,3.11,00:00.0,0,19.5,231,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4472393,-2.5373957
1,2175.3,0,10:46.2,02:44.4,3.04,00:00.0,0,20.5,232,9,0,---,---,---,---,---,---,---,---,---,---,51.4472186,-2.5375214
1,2185.2,0,10:49.4,02:45.0,3.03,00:00.0,0,18,233,9.9,0,---,---,---,---,---,---,---,---,---,---,51.447187,-2.5376547
1,2195.8,0,10:53.0,02:44.4,3.04,00:00.0,0,18,234,10.7,0,---,---,---,---,---,---,---,---,---,---,51.4471539,-2.5377992
1,2205.2,0,10:56.0,02:44.4,3.04,00:00.0,0,18,235,9.4,0,---,---,---,---,---,---,---,---,---,---,51.447123,-2.5379247
1,2215.7,0,10:59.4,02:43.3,3.06,00:00.0,0,17.5,236,10.5,0,---,---,---,---,---,---,---,---,---,---,51.4470896,-2.5380666
1,2225.6,0,11:02.8,02:43.9,3.05,00:00.0,0,18.5,237,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4470514,-2.5381951
1,2235,0,11:06.0,02:48.9,2.96,00:00.0,0,18,238,9.4,0,---,---,---,---,---,---,---,---,---,---,51.447009,-2.5383119
1,2244.8,0,11:09.4,02:53.6,2.88,00:00.0,0,18.5,239,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4469536,-2.5384216
1,2254.3,0,11:12.8,02:56.0,2.84,00:00.0,0,16.5,240,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4468994,-2.5385288
1,2264.1,0,11:16.2,02:57.3,2.82,00:00.0,0,18,241,9.7,0,---,---,---,---,---,---,---,---,---,---,51.4468369,-2.5386266
1,2273.6,0,11:19.6,02:57.9,2.81,00:00.0,0,17.5,242,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4467783,-2.5387263
1,2282.5,0,11:23.1,02:59.8,2.78,00:00.0,0,18.5,243,9,0,---,---,---,---,---,---,---,---,---,---,51.4467242,-2.5388218
1,2291.6,0,11:26.0,02:58.5,2.8,00:00.0,0,18.5,244,9.1,0,---,---,---,---,---,---,---,---,---,---,51.4466646,-2.5389113
1,2301.9,0,11:29.4,02:52.4,2.9,00:00.0,0,17.5,245,10.3,0,---,---,---,---,---,---,---,---,---,---,51.4465962,-2.5390108
1,2320.9,0,11:41.1,15:45.4,0.11,00:00.0,0,14.5,246,19,0,---,---,---,---,---,---,---,---,---,---,51.4463871,-2.5392963
1,2325.6,0,11:55.8,21:55.7,0.38,00:00.0,0,8.5,247,4.7,0,---,---,---,---,---,---,---,---,---,---,51.4463641,-2.5393132
1,2332.9,0,11:59.2,06:24.6,1.3,00:00.0,0,17,248,7.3,0,---,---,---,---,---,---,---,---,---,---,51.4463074,-2.5393656
1,2342.6,0,12:02.9,03:33.6,2.34,00:00.0,0,18.5,249,9.7,0,---,---,---,---,---,---,---,---,---,---,51.446233,-2.5394394
1,2351.8,0,12:05.9,02:56.6,2.83,00:00.0,0,18.5,250,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4461638,-2.5395109
1,2371,0,12:16.4,06:43.2,1.24,00:00.0,0,19.5,251,19.2,0,---,---,---,---,---,---,---,---,---,---,51.4459094,-2.5397083
1,2371.3,0,12:17.4,23:20.0,0.1,00:00.0,0,23,252,0.3,0,---,---,---,---,---,---,---,---,---,---,51.4459097,-2.5397042
1,2372.2,0,12:20.0,32:35.5,0.09,00:00.0,0,28,253,0.9,0,---,---,---,---,---,---,---,---,---,---,51.4459167,-2.5396966
1,2372.5,0,12:21.0,23:20.0,0.1,00:00.0,0,33,254,0.3,0,---,---,---,---,---,---,---,---,---,---,51.4459179,-2.5396927
1,2372.5,0,12:21.7,04:06.1,0.13,00:00.0,0,90.5,255,0,0,---,---,---,---,---,---,---,---,---,---,51.4459156,-2.5396903
